country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,99.78631,,,,,,,
Albania,2002,,98.74161,,,,,,
Albania,2005,,98.56845,,,,,,
Albania,2008,,98.16591,,,,,,
Albania,2012,,98.690605,,,,,,
Albania,2014,,,97.577576,,,,,
Albania,2015,,,95.23791,,,,,
Albania,2016,,,94.46891,,,,,
Albania,2017,,,94.85269,,,,,
Albania,2018,,,,95.00133,,,,
Albania,2019,,,,93.908295,,,,
Albania,2020,,,,94.12691,,,,
Algeria,1988,98.277,,,,,,,
Algeria,1995,,98.737,,,,,,
Algeria,2011,,,98.342,,,,,
Angola,2000,96.74555,,,,,,,
Angola,2008,,98.29807,,,,,,
Angola,2018,,,98.600624,,,,,
Armenia,1999,,99.1563,,,,,,
Armenia,2001,,99.52509,,,,,,
Armenia,2002,,99.30077,,,,,,
Armenia,2003,,99.20445,,,,,,
Armenia,2004,,98.14789,,,,,,
Armenia,2005,,97.951775,,,,,,
Armenia,2006,,99.18628,,,,,,
Armenia,2007,,98.81583,,,,,,
Armenia,2008,,99.19604,,,,,,
Armenia,2009,,99.47511,,,,,,
Armenia,2010,,99.17424,,,,,,
Armenia,2011,,99.00435,,,,,,
Armenia,2012,,98.832115,,,,,,
Armenia,2013,,99.10705,,,,,,
Armenia,2014,,98.28151,,,,,,
Armenia,2015,,97.413376,,,,,,
Armenia,2016,,98.755226,,,,,,
Armenia,2017,,97.89672,,,,,,
Armenia,2018,,97.27986,,,,,,
Armenia,2019,,,98.56165,,,,,
Armenia,2020,,,99.47858,,,,,
Armenia,2021,,,99.04169,,,,,
Armenia,2022,,,99.26019,,,,,
Armenia,2023,,,99.21398,,,,,
Azerbaijan,1995,99.61714,,,,,,,
Azerbaijan,2001,,98.52759,,,,,,
Azerbaijan,2002,,98.82923,,,,,,
Azerbaijan,2003,,98.5621,,,,,,
Azerbaijan,2004,,98.31907,,,,,,
Azerbaijan,2005,,97.87129,,,,,,
Bangladesh,1983,100.0,,,,,,,
Bangladesh,1985,99.992004,,,,,,,
Bangladesh,1988,99.953,,,,,,,
Bangladesh,1991,,99.95123,,,,,,
Bangladesh,1995,,99.723915,,,,,,
Bangladesh,2000,,,99.78012,,,,,
Bangladesh,2005,,,99.676346,,,,,
Bangladesh,2010,,,99.71637,,,,,
Bangladesh,2016,,,99.541245,,,,,
Bangladesh,2022,,,,99.146706,,,,
Barbados,2016,87.36792,,,,,,,
Belarus,1998,,99.89091,,,,,,
Belarus,1999,,99.94952,,,,,,
Belarus,2000,,99.9048,,,,,,
Belarus,2001,,99.71477,,,,,,
Belarus,2002,,99.66785,,,,,,
Belarus,2003,,99.816574,,,,,,
Belarus,2004,,99.750435,,,,,,
Belarus,2005,,99.17965,,,,,,
Belarus,2006,,98.599396,,,,,,
Belarus,2007,,96.85395,,,,,,
