country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,239127,,,,,,,,,,,,,,,
Albania,2002,,256479,,,,,,,,,,,,,,
Albania,2005,,270779,,,,,,,,,,,,,,
Albania,2008,,213023,,,,,,,,,,,,,,
Albania,2012,,224871,,,,,,,,,,,,,,
Albania,2014,,,413209,,,,,,,,,,,,,
Albania,2015,,,310087,,,,,,,,,,,,,
Albania,2016,,,366837,,,,,,,,,,562922,,,
Albania,2017,,,334884,,,,,,,,,,538794,,,
Albania,2018,,,,336753,,,,,,,,,506630,,,
Albania,2019,,,,246243,,,,,,,,,,,,
Albania,2020,,,,271908,,,,,,,,,,,,
Algeria,1988,3349779,,,,,,,,,,,,,,,
Algeria,1995,,4142413,,,,,,,,,,,,,,
Algeria,2011,,,2642436,,,,,,,,,,,,,
Angola,2000,3824257,,,,,,,,,,,,,,,
Angola,2008,,3783643,,,,,,,,,,,,,,
Angola,2018,,,7175608,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,4501733,,,,,,,
Argentina (urban),1986,,,,,,,,,4701135,,,,,,,
Argentina (urban),1987,,,,,,,,,5029734,,,,,,,
Argentina (urban),1991,,,,,,,,,4995461,,,,,,,
Argentina (urban),1992,,,,,,,,,,5793285,,,,,,
Argentina (urban),1993,,,,,,,,,,6023778,,,,,,
Argentina (urban),1994,,,,,,,,,,6309177,,,,,,
Argentina (urban),1995,,,,,,,,,,6554600,,,,,,
Argentina (urban),1996,,,,,,,,,,7077944,,,,,,
Argentina (urban),1997,,,,,,,,,,7077182,,,,,,
Argentina (urban),1998,,,,,,,,,,,7431940,,,,,
Argentina (urban),1999,,,,,,,,,,,7355474,,,,,
Argentina (urban),2000,,,,,,,,,,,8119907,,,,,
Argentina (urban),2001,,,,,,,,,,,8424881,,,,,
