country,year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,2016,,,,,2846754,,,
Albania,2017,,,,,2847039,,,
Albania,2018,,,,,2836371,,,
Argentina (urban),1980,16377725,,,,,,,
Argentina (urban),1986,18155451,,,,,,,
Argentina (urban),1987,19623375,,,,,,,
Argentina (urban),1991,24636627,,,,,,,
Argentina (urban),1992,,24879627,,,,,,
Argentina (urban),1993,,25082737,,,,,,
Argentina (urban),1994,,25731366,,,,,,
Argentina (urban),1995,,26350196,,,,,,
Argentina (urban),1996,,26783536,,,,,,
Argentina (urban),1997,,26654839,,,,,,
Argentina (urban),1998,,,27373652,,,,,
Argentina (urban),1999,,,28179814,,,,,
Argentina (urban),2000,,,28512794,,,,,
Argentina (urban),2001,,,29470994,,,,,
Argentina (urban),2002,,,31827914,,,,,
Argentina (urban),2003,,,,30606342,,,,
Argentina (urban),2004,,,,30363669,,,,
Argentina (urban),2005,,,,29904667,,,,
Argentina (urban),2006,,,,29300692,,,,
Argentina (urban),2007,,,,29221819,,,,
Argentina (urban),2008,,,,29181698,,,,
Argentina (urban),2009,,,,28977750,,,,
Argentina (urban),2010,,,,29280527,,,,
Argentina (urban),2011,,,,28536261,,,,
Argentina (urban),2012,,,,28796894,,,,
Argentina (urban),2013,,,,29118531,,,,
Argentina (urban),2014,,,,30576444,,,,
Argentina (urban),2016,,,,30880157,,,,
Argentina (urban),2017,,,,30348731,,,,
Argentina (urban),2018,,,,32397182,,,,
Argentina (urban),2019,,,,33065607,,,,
Argentina (urban),2020,,,,34980640,,,,
Argentina (urban),2021,,,,34447913,,,,
Argentina (urban),2022,,,,35164705,,,,
Argentina (urban),2023,,,,35293480,,,,
Argentina (urban),2024,,,,35025539,,,,
Armenia,1996,3238538,,,,,,,
Australia,1981,8804554,,,,,,,
Australia,1985,,9108324,,,,,,
Australia,1989,,,9330629,,,,,
Australia,1995,,,,10980603,,,,
Australia,2001,,,,10114681,,,,
Australia,2003,,,,10007519,,,,
Australia,2004,,,,8969069,,,,
Australia,2008,,,,6881658,,,,
Australia,2010,,,,6913584,,,,
Australia,2014,,,,5927043,,,,
Australia,2016,,,,6408340,,,,
Australia,2018,,,,6490268,,,,
Australia,2020,,,,5834662,,,,
Austria,1994,,2219268,,,,,,
Austria,1995,,2204292,,,,,,
Austria,1996,,2444733,,,,,,
Austria,1997,,2425970,,,,,,
Austria,1998,,2430596,,,,,,
Austria,1999,,2209913,,,,,,
Austria,2000,,2200902,,,,,,
Austria,2003,,,1925273,,,,,
Austria,2004,,,1725971,,,,,
Austria,2005,,,1850576,,,,,
Austria,2006,,,1802377,,,,,
Austria,2007,,,1772719,,,,,
Austria,2008,,,1639853,,,,,
