country,year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,2016,,,,,2566023,,,
Albania,2017,,,,,2542984,,,
Albania,2018,,,,,2499488,,,
Argentina (urban),1980,8015773,,,,,,,
Argentina (urban),1986,8591624,,,,,,,
Argentina (urban),1987,10504182,,,,,,,
Argentina (urban),1991,17241744,,,,,,,
Argentina (urban),1992,,16871444,,,,,,
Argentina (urban),1993,,16527668,,,,,,
Argentina (urban),1994,,17185172,,,,,,
Argentina (urban),1995,,19160524,,,,,,
Argentina (urban),1996,,19636463,,,,,,
Argentina (urban),1997,,19115743,,,,,,
Argentina (urban),1998,,,20015810,,,,,
Argentina (urban),1999,,,20817431,,,,,
Argentina (urban),2000,,,21659206,,,,,
Argentina (urban),2001,,,22932819,,,,,
Argentina (urban),2002,,,27370110,,,,,
Argentina (urban),2003,,,,23442465,,,,
Argentina (urban),2004,,,,22244804,,,,
Argentina (urban),2005,,,,20948311,,,,
Argentina (urban),2006,,,,19028918,,,,
Argentina (urban),2007,,,,18785063,,,,
Argentina (urban),2008,,,,18237594,,,,
Argentina (urban),2009,,,,17295001,,,,
Argentina (urban),2010,,,,17140010,,,,
Argentina (urban),2011,,,,16038548,,,,
Argentina (urban),2012,,,,15968101,,,,
Argentina (urban),2013,,,,15939412,,,,
Argentina (urban),2014,,,,17782071,,,,
Argentina (urban),2016,,,,17651978,,,,
Argentina (urban),2017,,,,16478297,,,,
Argentina (urban),2018,,,,18796236,,,,
Argentina (urban),2019,,,,20050587,,,,
Argentina (urban),2020,,,,22771313,,,,
Argentina (urban),2021,,,,21471547,,,,
Argentina (urban),2022,,,,22219708,,,,
Argentina (urban),2023,,,,22662670,,,,
Argentina (urban),2024,,,,22197062,,,,
Armenia,1996,3107421,,,,,,,
Australia,1981,2126550,,,,,,,
Australia,1985,,2213154,,,,,,
Australia,1989,,,2352906,,,,,
Australia,1995,,,,3012509,,,,
Australia,2001,,,,2260005,,,,
Australia,2003,,,,2117807,,,,
Australia,2004,,,,1493601,,,,
Australia,2008,,,,998742,,,,
Australia,2010,,,,1104786,,,,
Australia,2014,,,,878572,,,,
Australia,2016,,,,1028102,,,,
Australia,2018,,,,1184638,,,,
Australia,2020,,,,1153137,,,,
Austria,1994,,395078,,,,,,
Austria,1995,,334311,,,,,,
Austria,1996,,317425,,,,,,
Austria,1997,,375922,,,,,,
Austria,1998,,293876,,,,,,
Austria,1999,,198458,,,,,,
Austria,2000,,255943,,,,,,
Austria,2003,,,250892,,,,,
Austria,2004,,,185217,,,,,
Austria,2005,,,202415,,,,,
Austria,2006,,,214659,,,,,
Austria,2007,,,265179,,,,,
Austria,2008,,,280262,,,,,
Austria,2009,,,300728,,,,,
Austria,2010,,,204229,,,,,
Austria,2011,,,275785,,,,,
Austria,2012,,,326013,,,,,
Austria,2013,,,223234,,,,,
Austria,2014,,,211227,,,,,
Austria,2015,,,258213,,,,,
Austria,2016,,,307361,,,,,
Austria,2017,,,251074,,,,,
Austria,2018,,,251886,,,,,
Austria,2019,,,264574,,,,,
Austria,2020,,,253686,,,,,
Austria,2021,,,352153,,,,,
Austria,2022,,,278818,,,,,
Austria,2023,,,274064,,,,,
Belarus,1993,10202804,,,,,,,
Belarus,1995,9640510,,,,,,,
Belgium,1985,935299,,,,,,,
Belgium,1988,766772,,,,,,,
Belgium,1992,652682,,,,,,,
Belgium,1995,,527801,,,,,,
Belgium,1997,508486,,,,,,,
Belgium,2000,,349069,,,,,,
Belgium,2003,,,516206,,,,,
Belgium,2004,,,392178,,,,,
Belgium,2005,,,384901,,,,,
Belgium,2006,,,393947,,,,,
Belgium,2007,,,380850,,,,,
Belgium,2008,,,367052,,,,,
Belgium,2009,,,411759,,,,,
Belgium,2010,,,413728,,,,,
Belgium,2011,,,414310,,,,,
Belgium,2012,,,422079,,,,,
Belgium,2013,,,442492,,,,,
Belgium,2014,,,378262,,,,,
Belgium,2015,,,341357,,,,,
Belgium,2016,,,391076,,,,,
Belgium,2017,,,388382,,,,,
Belgium,2018,,,233410,,,,,
Belgium,2019,,,233137,,,,,
Belgium,2020,,,182562,,,,,
Belgium,2021,,,159689,,,,,
Belgium,2022,,,160757,,,,,
Belgium,2023,,,162572,,,,,
Belize,1993,173319,,,,,,,
Belize,1994,178614,,,,,,,
Belize,1996,,,190746,,,,,
Belize,1997,197766,,,,,,,
Belize,1998,203136,,,,,,,
Belize,1999,212603,,,,,,,
Bolivia,1997,,6527830,,,,,,
Bolivia,1999,,,6871103,,,,,
Bolivia,2000,,,,7309744,,,,
Bolivia,2001,,,,7352176,,,,
Bolivia,2002,,,,7571922,,,,
Bolivia,2004,,,,,7559106,,,
Bolivia,2005,,,,,,7348307,,
Bolivia,2006,,,,,,7267308,,
Bolivia,2007,,,,,,7477576,,
Bolivia,2008,,,,,,7306196,,
Bolivia,2009,,,,,,7082750,,
Bolivia,2011,,,,,,6722701,,
Bolivia,2012,,,,,,6620201,,
Bolivia,2013,,,,,,6483040,,
Bolivia,2014,,,,,,6630987,,
Bolivia,2015,,,,,,6803932,,
Bolivia,2016,,,,,,6955750,,
Bolivia,2017,,,,,,6934636,,
Bolivia,2018,,,,,,7065594,,
Bolivia,2019,,,,,,7003196,,
Bolivia,2020,,,,,,7232669,,
Bolivia,2021,,,,,,7156622,,
Bolivia,2022,,,,,,7275435,,
Bolivia,2023,,,,,,7219972,,
Bolivia (urban),1990,3417242,,,,,,,
Bolivia (urban),1992,3817315,,,,,,,
