viewId,chartType,queryStr,resolvedQueryStr,md5,svgFilename,durationReceiveData,durationTotal,heapUsed,totalDataFileSize
acceptability-of-uk-farming-practices,StackedDiscreteBar,tab=stacked-discrete-bar,tab=stacked-discrete-bar,6ca529e08f6f9e1f91d990d5e8af1ec8,acceptability-of-uk-farming-practices-a7a77a74cb2b694300091c7481efc11f_v14_300x160.svg,6,39,223639440,998
access-drinking-water-stacked,StackedDiscreteBar,tab=stacked-discrete-bar,tab=stacked-discrete-bar,7269bfe09b338cb4889e53e92a31dc6d,access-drinking-water-stacked-a7a77a74cb2b694300091c7481efc11f_v19_300x160.svg,30,60,218338960,859851
annual-area-burnt-by-wildfires,WorldMap,tab=map,tab=map,b44ecce96c596067c587ef4b5a2dee22,annual-area-burnt-by-wildfires-83275d7e04dd5874f8a63e9a2aca43be_v27_300x160.svg,5,70,229499400,112504
annual-area-burnt-by-wildfires,StackedBar,tab=stacked-bar,tab=stacked-bar,8b6c2c4886bb86634a6560f377815243,annual-area-burnt-by-wildfires-68501dd450fb1055ac19ba51b2b84f64_v27_300x160.svg,6,36,222924768,112504
annual-co-emissions-by-region,StackedArea,tab=stacked-area,tab=stacked-area,541542456d1ee33e4e586bfb3bed73c5,annual-co-emissions-by-region-9da5fabd5ba19117b27cdbe481d84f99_v54_300x160.svg,14,74,235466848,940158
annual-co-emissions-from-aviation,WorldMap,tab=map,tab=map,b0053f2b370b6669f5905c05b81853b8,annual-co-emissions-from-aviation-83275d7e04dd5874f8a63e9a2aca43be_v12_300x160.svg,5,64,225899584,52943
annual-co-emissions-from-aviation,StackedBar,tab=stacked-bar,tab=stacked-bar,f4d61597c45675d2335ae84946407fa0,annual-co-emissions-from-aviation-68501dd450fb1055ac19ba51b2b84f64_v12_300x160.svg,3,16,212048008,52943
annual-co2-emissions-per-country,WorldMap,tab=map,tab=map,b7460144cddc58e6163ca818e90061da,annual-co2-emissions-per-country-83275d7e04dd5874f8a63e9a2aca43be_v56_300x160.svg,6,100,274938184,940158
annual-co2-emissions-per-country,LineChart,tab=line,tab=line,f0c8d25154ba587c59faea04e87e7b96,annual-co2-emissions-per-country-dfdaadb3d9a271eeafcf1252a03a641f_v56_300x160.svg,4,34,248392640,940158
annual-co2-emissions-per-country,DiscreteBar,tab=discrete-bar,tab=discrete-bar,42a9235e28dfeebf7837c1dabc26a0a6,annual-co2-emissions-per-country-f88355aac84b3af61e7230eae8da2f3a_v56_300x160.svg,4,22,223662936,940158
annual-death-rate-by-age-group,DiscreteBar,tab=discrete-bar,tab=discrete-bar,6278f1db07c9b66e82d5b712f36e0d4a,annual-death-rate-by-age-group-f88355aac84b3af61e7230eae8da2f3a_v15_300x160.svg,42,64,227419304,2488296
annual-deaths-by-age,DiscreteBar,tab=discrete-bar,tab=discrete-bar,e95c3b3369a3d3f0a338de53c0d013eb,annual-deaths-by-age-f88355aac84b3af61e7230eae8da2f3a_v33_300x160.svg,180,203,348122320,11152583
annual-number-of-births-by-world-region,StackedArea,tab=stacked-area,tab=stacked-area,d47b1524c6a51a612a6376a49e9898ae,annual-number-of-births-by-world-region-9da5fabd5ba19117b27cdbe481d84f99_v21_300x160.svg,6,23,234131504,575365
