country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
China,2022,,,3.0413158,,,,,
China (rural),1990,,61.661068,,,,,,
China (rural),1993,,59.778763,,,,,,
China (rural),1996,,51.760338,,,,,,
China (rural),1999,,52.723576,,,,,,
China (rural),2002,,49.989296,,,,,,
China (rural),2005,,41.39837,,,,,,
China (rural),2008,,40.765232,,,,,,
China (rural),2010,,38.32806,,,,,,
China (rural),2011,,35.39081,,,,,,
China (rural),2012,,34.337486,,,,,,
China (rural),2013,,,26.375097,,,,,
China (rural),2014,,,24.975077,,,,,
China (rural),2015,,,22.092962,,,,,
China (rural),2016,,,20.710873,,,,,
China (rural),2017,,,19.477806,,,,,
China (rural),2018,,,17.074966,,,,,
China (rural),2019,,,11.385887,,,,,
China (rural),2020,,,5.1328993,,,,,
China (rural),2021,,,1.796669,,,,,
China (rural),2022,,,3.041316,,,,,
China (urban),1990,,40.444622,,,,,,
China (urban),1993,,35.656364,,,,,,
China (urban),1996,,32.37561,,,,,,
China (urban),1999,,31.842878,,,,,,
China (urban),2002,,28.433102,,,,,,
China (urban),2005,,25.8764,,,,,,
China (urban),2008,,21.494928,,,,,,
China (urban),2010,,17.248018,,,,,,
China (urban),2011,,14.660021,,,,,,
China (urban),2012,,12.405515,,,,,,
China (urban),2013,,,14.877087,,,,,
China (urban),2014,,,15.286242,,,,,
China (urban),2015,,,11.411613,,,,,
China (urban),2016,,,7.6544,,,,,
China (urban),2017,,,7.55454,,,,,
China (urban),2018,,,5.859579,,,,,
China (urban),2019,,,1.7161968,,,,,
China (urban),2020,,,1.3902519,,,,,
Comoros,2004,37.543137,,,,,,,
Comoros,2014,,41.683746,,,,,,
Congo,2005,49.353405,,,,,,,
Congo,2011,45.404106,,,,,,,
Cote d'Ivoire,1985,34.013786,,,,,,,
Cote d'Ivoire,1986,26.582056,,,,,,,
Cote d'Ivoire,1987,30.025082,,,,,,,
Cote d'Ivoire,1988,31.787447,,,,,,,
Cote d'Ivoire,1992,,41.087154,,,,,,
Cote d'Ivoire,1995,,39.25842,,,,,,
Cote d'Ivoire,1998,,41.057156,,,,,,
Cote d'Ivoire,2008,,,45.771698,,,,,
Cote d'Ivoire,2015,,,44.08724,,,,,
Cote d'Ivoire,2018,,,,31.69907,,,,
Cote d'Ivoire,2021,,,,29.450224,,,,
Croatia,2004,,23.53249,,,,,,
Croatia,2008,,13.442597,,,,,,
Croatia,2009,,38.131817,,,,,,
Croatia,2010,,3.425126,,,,,,
Democratic Republic of Congo,2004,75.91922,,,,,,,
Democratic Republic of Congo,2012,60.238277,,,,,,,
Democratic Republic of Congo,2020,,65.213486,,,,,,
Djibouti,2002,37.90727,,,,,,,
Djibouti,2012,,41.881916,,,,,,
Djibouti,2013,,,41.394985,,,,,
Djibouti,2017,,,,37.71551,,,,
East Timor,2001,44.179436,,,,,,,
East Timor,2007,41.370293,,,,,,,
East Timor,2014,34.93493,,,,,,,
Egypt,1990,20.267567,,,,,,,
Egypt,1995,17.069637,,,,,,,
Egypt,1999,,12.769044,,,,,,
Egypt,2004,,,18.677658,,,,,
Egypt,2008,,,18.913187,,,,,
Egypt,2010,,,,15.919969,,,,
Egypt,2012,,,,16.175722,,,,
Egypt,2015,,,,16.257215,,,,
Egypt,2017,,,,18.696852,,,,
Egypt,2019,,,,,17.69968,,,
Egypt,2021,,,,16.375193,,,,
Equatorial Guinea,2022,25.93789,,,,,,,
Estonia,1995,,15.290552,,,,,,
Estonia,1998,,8.57956,,,,,,
Estonia,2000,,,26.033075,,,,,
Estonia,2001,,,24.797787,,,,,
Estonia,2002,,,25.985483,,,,,
Estonia,2003,,,25.706459,,,,,
Estonia,2004,,,23.059381,,,,,
Eswatini,1994,74.39204,,,,,,,
Eswatini,2000,,53.963486,,,,,,
Eswatini,2009,,53.777344,,,,,,
Eswatini,2016,,47.19146,,,,,,
Ethiopia,1995,,53.09214,,,,,,
Ethiopia,1999,,43.5788,,,,,,
Ethiopia,2004,,33.378498,,,,,,
Ethiopia,2010,,34.507504,,,,,,
Ethiopia,2015,,34.861824,,,,,,
Ethiopia,2021,,35.365753,,,,,,
Ethiopia (rural),1981,50.277885,,,,,,,
Fiji,2002,23.33982,,,,,,,
Fiji,2008,21.289265,,,,,,,
Fiji,2013,18.051792,,,,,,,
Fiji,2019,,21.66158,,,,,,
Gabon,2005,28.606108,,,,,,,
Gabon,2017,,30.023523,,,,,,
Gambia,1998,62.027657,,,,,,,
Gambia,2003,,49.542072,,,,,,
Gambia,2010,,,39.145176,,,,,
Gambia,2015,,,,28.541775,,,,
Gambia,2020,,,,32.557873,,,,
Georgia,1996,32.26501,,,,,,,
Georgia,1997,,40.419006,,,,,,
Georgia,1998,,,39.600883,,,,,
Georgia,1999,,,40.51082,,,,,
Georgia,2000,,,41.103523,,,,,
Georgia,2001,,,39.82241,,,,,
Georgia,2002,,,34.871292,,,,,
Georgia,2003,,,34.95448,,,,,
Georgia,2004,,,35.040318,,,,,
Georgia,2005,,,35.607807,,,,,
Georgia,2006,,,34.81368,,,,,
Georgia,2007,,,35.44556,,,,,
Georgia,2008,,,35.04908,,,,,
Georgia,2009,,,34.509865,,,,,
Georgia,2010,,,36.973015,,,,,
Georgia,2011,,,36.649082,,,,,
Georgia,2012,,,33.94819,,,,,
Georgia,2013,,,31.880127,,,,,
Georgia,2014,,,30.543356,,,,,
Georgia,2015,,,28.149277,,,,,
Georgia,2016,,,28.934692,,,,,
Georgia,2017,,,30.66551,,,,,
Georgia,2018,,,30.779127,,,,,
Georgia,2019,,,28.601044,,,,,
Georgia,2020,,,29.390934,,,,,
Georgia,2021,,,29.67883,,,,,
Georgia,2022,,,29.047194,,,,,
Georgia,2023,,,26.251568,,,,,
Georgia,2024,,,24.678146,,,,,
Ghana,1987,55.173492,,,,,,,
Ghana,1988,54.839283,,,,,,,
Ghana,1991,,58.735172,,,,,,
Ghana,1998,,52.728043,,,,,,
Ghana,2005,,50.416622,,,,,,
Ghana,2012,,43.235455,,,,,,
Ghana,2016,,44.436207,,,,,,
Grenada,2018,18.51402,,,,,,,
Guinea,1991,69.08077,,,,,,,
Guinea,1994,,41.64305,,,,,,
Guinea,2002,,,44.61291,,,,,
Guinea,2007,,,,41.426815,,,,
Guinea,2012,,,,30.653831,,,,
Guinea,2018,,,,,25.334482,,,
Guinea-Bissau,1991,56.077652,,,,,,,
Guinea-Bissau,1993,,46.82201,,,,,,
Guinea-Bissau,2002,,,49.01647,,,,,
Guinea-Bissau,2010,,,,59.654476,,,,
Guinea-Bissau,2018,,,,,35.259464,,,
Guinea-Bissau,2021,,,,,37.219925,,,
Haiti,2012,,42.088074,,,,,,
Hungary,1998,,,,18.455755,,,,
Hungary,1999,,,,15.054761,,,,
Hungary,2000,,,,14.151035,,,,
Hungary,2001,,,,13.232646,,,,
Hungary,2002,,,,10.821595,,,,
Hungary,2003,,,,17.911898,,,,
Hungary,2004,,,,16.975845,,,,
Hungary,2005,,,,12.652805,,,,
Hungary,2006,,,,12.093731,,,,
Hungary,2007,,,,19.82455,,,,
India,1977,40.948895,,,,,,,
India,1983,,37.153774,,,,,,
India,1987,,,37.00574,,,,,
India,1993,,,,34.631004,,,,
India,2004,,,,34.403717,,,,
India,2009,,,,30.296633,,,,
India,2011,,,,,,,,27.889433
India,2022,,,,,,,,18.49164
Indonesia,1984,59.20766,,,,,,,
Indonesia,1987,58.34589,,,,,,,
Indonesia,1990,52.05633,,,,,,,
Indonesia,1993,,51.783184,,,,,,
Indonesia,1996,,47.18842,,,,,,
Indonesia,1998,,54.98371,,,,,,
Indonesia,1999,,43.97503,,,,,,
Indonesia,2000,,,44.05309,,,,,
Indonesia,2001,,,42.79295,,,,,
Indonesia,2002,,,,35.510147,,,,
Indonesia,2003,,,,35.58952,,,,
Indonesia,2004,,,,35.942986,,,,
Indonesia,2005,,,,,33.999683,,,
Indonesia,2006,,,,,37.16769,,,
Indonesia,2007,,,,,35.356647,,,
Indonesia,2008,,,,,34.093056,,,
Indonesia,2009,,,,,33.964268,,,
Indonesia,2010,,,,,33.792988,,,
Indonesia,2011,,,,,,32.76054,,
Indonesia,2012,,,,,,30.338024,,
Indonesia,2013,,,,,,30.921799,,
Indonesia,2014,,,,,,30.427603,,
Indonesia,2015,,,,,,,29.272648,
Indonesia,2016,,,,,,,28.189165,
Indonesia,2017,,,,,,,26.68965,
Indonesia,2018,,,,,,,25.76911,
Indonesia,2019,,,,,,,24.443491,
Indonesia,2020,,,,,,,23.941547,
Indonesia,2021,,,,,,,23.40659,
Indonesia,2022,,,,,,,22.516296,
Indonesia,2023,,,,,,,21.681824,
Indonesia,2024,,,,,,,20.516327,
Iran,1986,37.03994,,,,,,,
Iran,1990,36.044716,,,,,,,
Iran,1994,31.690748,,,,,,,
Iran,1998,32.201347,,,,,,,
Iran,2005,,26.537281,,,,,,
Iran,2006,,25.869389,,,,,,
Iran,2009,,29.768724,,,,,,
Iran,2011,,,22.948671,,,,,
Iran,2012,,,20.779818,,,,,
Iran,2013,,,20.769352,,,,,
Iran,2014,,,24.868656,,,,,
Iran,2015,,,23.841236,,,,,
Iran,2016,,,23.729904,,,,,
Iran,2017,,,22.561514,,,,,
Iran,2018,,,23.400024,,,,,
Iran,2019,,,23.556948,,,,,
Iran,2020,,,24.692781,,,,,
Iran,2021,,,24.5047,,,,,
Iran,2022,,,23.42876,,,,,
Iran,2023,,,22.659517,,,,,
Iraq,2006,17.06774,,,,,,,
Iraq,2012,15.885115,,,,,,,
Iraq,2023,,16.978302,,,,,,
Jamaica,1988,31.609385,,,,,,,
Jamaica,1990,,27.98934,,,,,,
Jamaica,1993,33.001564,,,,,,,
Jamaica,1996,,25.611898,,,,,,
Jamaica,1999,,29.202017,,,,,,
Jamaica,2002,,28.456253,,,,,,
Jamaica,2004,,25.900986,,,,,,
Jamaica,2018,,,17.554266,,,,,
Jamaica,2021,,,21.009043,,,,,
Jordan,1992,15.933769,,,,,,,
Jordan,1997,11.094938,,,,,,,
Jordan,2002,,19.295706,,,,,,
Jordan,2006,,,15.988846,,,,,
Jordan,2008,,,,13.499853,,,,
Jordan,2010,,,,14.5001335,,,,
Kazakhstan,1996,,29.926064,,,,,,
Kazakhstan,2001,,,32.808807,,,,,
Kazakhstan,2002,,,29.074583,,,,,
Kazakhstan,2003,,,26.897192,,,,,
Kazakhstan,2004,,,23.050829,,,,,
Kazakhstan,2005,,,,30.934566,,,,
Kazakhstan,2006,,,,19.751873,,,,
Kazakhstan,2007,,,,18.44906,,,,
Kazakhstan,2008,,,,17.085754,,,,
Kazakhstan,2009,,,,16.87016,,,,
Kazakhstan,2010,,,,16.92855,,,,
Kazakhstan,2011,,,,17.6083,,,,
Kazakhstan,2012,,,,14.187274,,,,
Kazakhstan,2013,,,,16.10697,,,,
Kazakhstan,2014,,,,14.729444,,,,
Kazakhstan,2015,,,,14.534956,,,,
Kazakhstan,2016,,,,14.55642,,,,
Kazakhstan,2017,,,,16.386038,,,,
Kazakhstan,2018,,,,13.672936,,,,
Kazakhstan,2019,,,,14.507871,,,,
Kazakhstan,2020,,,,14.2082815,,,,
Kazakhstan,2021,,,,12.2173815,,,,
Kenya,1992,42.79979,,,,,,,
Kenya,1994,,40.02447,,,,,,
Kenya,1997,,,37.994694,,,,,
Kenya,2005,,,,43.96813,,,,
Kenya,2015,,,,39.04137,,,,
Kenya,2020,,,,39.349068,,,,
Kenya,2021,,,,39.21825,,,,
Kenya,2022,,,,39.864956,,,,
Kiribati,2006,33.73289,,,,,,,
Kiribati,2019,,20.291122,,,,,,
Kosovo,2003,23.547342,,,,,,,
Kosovo,2005,27.020287,,,,,,,
Kosovo,2006,25.96662,,,,,,,
Kosovo,2009,25.980114,,,,,,,
Kosovo,2010,25.564928,,,,,,,
Kosovo,2011,23.406437,,,,,,,
Kosovo,2012,,21.757225,,,,,,
Kosovo,2013,,21.159214,,,,,,
Kosovo,2014,,22.146952,,,,,,
Kosovo,2015,,21.582628,,,,,,
Kosovo,2016,,20.614199,,,,,,
Kosovo,2017,,19.93923,,,,,,
Kyrgyzstan,2000,,46.174118,,,,,,
Kyrgyzstan,2001,,43.751816,,,,,,
Kyrgyzstan,2002,,42.806168,,,,,,
Kyrgyzstan,2003,,40.22265,,,,,,
Kyrgyzstan,2004,,,34.46089,,,,,
Kyrgyzstan,2005,,,34.078728,,,,,
Kyrgyzstan,2006,,,31.62295,,,,,
Kyrgyzstan,2007,,,30.782476,,,,,
Kyrgyzstan,2008,,,25.91575,,,,,
Kyrgyzstan,2009,,,22.039454,,,,,
Kyrgyzstan,2010,,,25.915228,,,,,
Kyrgyzstan,2011,,,21.630445,,,,,
Kyrgyzstan,2012,,,23.088104,,,,,
Kyrgyzstan,2013,,,24.064419,,,,,
Kyrgyzstan,2014,,,20.269184,,,,,
Kyrgyzstan,2015,,,22.485106,,,,,
Kyrgyzstan,2016,,,20.384888,,,,,
Kyrgyzstan,2017,,,20.573763,,,,,
Kyrgyzstan,2018,,,18.699932,,,,,
Kyrgyzstan,2019,,,18.564953,,,,,
Kyrgyzstan,2020,,,21.37521,,,,,
Kyrgyzstan,2021,,,19.432354,,,,,
Kyrgyzstan,2022,,,17.978737,,,,,
Kyrgyzstan,2023,,,16.765802,,,,,
Laos,1992,35.64164,,,,,,,
Laos,1997,44.143036,,,,,,,
Laos,2002,35.59016,,,,,,,
Laos,2007,33.912376,,,,,,,
Laos,2012,,29.811466,,,,,,
Laos,2018,,27.6075,,,,,,
Latvia,1997,,25.372421,,,,,,
Latvia,1998,,25.690207,,,,,,
Latvia,2002,,26.846382,,,,,,
Latvia,2003,,25.292948,,,,,,
Latvia,2004,,19.624952,,,,,,
Latvia,2007,,16.880476,,,,,,
Latvia,2008,,13.803585,,,,,,
Latvia,2009,,26.094727,,,,,,
Lebanon,2011,8.211959,,,,,,,
Lebanon,2022,,24.642464,,,,,,
Lesotho,1986,58.917435,,,,,,,
Lesotho,1994,,64.045235,,,,,,
Lesotho,2002,,,62.984276,,,,,
Lesotho,2017,,,,46.29509,,,,
Liberia,2007,46.73846,,,,,,,
Liberia,2014,,33.6868,,,,,,
Liberia,2016,,36.13414,,,,,,
Lithuania,1996,,14.494486,,,,,,
Lithuania,1998,,,20.657747,,,,,
Lithuania,1999,,,20.934397,,,,,
Lithuania,2000,,,18.2141,,,,,
Lithuania,2001,,,21.46557,,,,,
Lithuania,2002,,,19.758791,,,,,
Lithuania,2003,,,17.903906,,,,,
Lithuania,2004,,,18.336998,,,,,
Lithuania,2008,,,21.35129,,,,,
Madagascar,1980,51.97911,,,,,,,
Madagascar,1993,,61.39577,,,,,,
Madagascar,1997,,,59.542023,,,,,
Madagascar,1999,,,58.70251,,,,,
Madagascar,2001,,,,50.821507,,,,
Madagascar,2005,,,,44.042416,,,,
Madagascar,2010,,,,50.01401,,,,
Madagascar,2012,,,,52.47736,,,,
Madagascar,2021,,,,,49.92622,,,
Malawi,1997,48.999146,,,,,,,
Malawi,2004,,53.495678,,,,,,
Malawi,2010,,55.972702,,,,,,
Malawi,2016,,52.089478,,,,,,
Malawi,2019,,54.487156,,,,,,
Maldives,2002,29.921738,,,,,,,
Maldives,2009,,30.444313,,,,,,
Maldives,2016,,,15.916682,,,,,
Mali,1994,72.823814,,,,,,,
Mali,2001,,53.617935,,,,,,
Mali,2006,,,49.179745,,,,,
Mali,2009,,,46.73078,,,,,
Mali,2018,,,,32.837402,,,,
Mali,2021,,,,34.859882,,,,
Marshall Islands,2019,23.229107,,,,,,,
Mauritania,1987,49.533207,,,,,,,
Mauritania,1993,,45.957188,,,,,,
Mauritania,1995,,,37.065243,,,,,
Mauritania,2000,,,,37.333733,,,,
Mauritania,2004,,,,34.32077,,,,
Mauritania,2008,,,,31.951784,,,,
Mauritania,2014,,,,28.029427,,,,
Mauritania,2019,,,,26.295744,,,,
Mauritius,2006,21.24064,,,,,,,
Mauritius,2012,22.297188,,,,,,,
Mauritius,2017,20.427176,,,,,,,
Micronesia (country),2005,,31.298353,,,,,,
Micronesia (country),2013,,,37.500286,,,,,
Moldova,1997,32.626286,,,,,,,
Moldova,1998,38.29224,,,,,,,
Moldova,1999,40.700333,,,,,,,
Moldova,2000,38.95925,,,,,,,
Moldova,2001,36.412014,,,,,,,
Moldova,2002,31.05636,,,,,,,
Moldova,2003,24.958483,,,,,,,
Moldova,2004,27.069132,,,,,,,
Moldova,2005,,30.258291,,,,,,
Moldova,2006,,,23.686817,,,,,
Moldova,2007,,,20.435886,,,,,
Moldova,2008,,,20.779879,,,,,
Moldova,2009,,,18.032007,,,,,
Moldova,2010,,,17.295868,,,,,
Moldova,2011,,,17.420883,,,,,
Moldova,2012,,,17.711071,,,,,
Moldova,2013,,,11.851892,,,,,
