country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,2.920094,,,,,,,,,,,,,,,
Albania,2002,,3.3054245,,,,,,,,,,,,,,
Albania,2005,,3.663754,,,,,,,,,,,,,,
Albania,2008,,2.7123,,,,,,,,,,,,,,
Albania,2012,,3.2169394,,,,,,,,,,,,,,
Albania,2014,,,5.7344604,,,,,,,,,,,,,
Albania,2015,,,4.3638186,,,,,,,,,,,,,
Albania,2016,,,5.11935,,,,,,,,,,9.573487,,,
Albania,2017,,,4.6653748,,,,,,,,,,9.312625,,,
Albania,2018,,,,4.883077,,,,,,,,,8.400676,,,
Albania,2019,,,,3.3910918,,,,,,,,,,,,
Albania,2020,,,,3.8721375,,,,,,,,,,,,
Algeria,1988,5.380921,,,,,,,,,,,,,,,
Algeria,1995,,5.6762753,,,,,,,,,,,,,,
Algeria,2011,,,2.465062,,,,,,,,,,,,,
Angola,2000,12.817394,,,,,,,,,,,,,,,
Angola,2008,,7.7168746,,,,,,,,,,,,,,
Angola,2018,,,11.072429,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,8.895311,,,,,,,
Argentina (urban),1986,,,,,,,,,8.445054,,,,,,,
Argentina (urban),1987,,,,,,,,,9.397407,,,,,,,
Argentina (urban),1991,,,,,,,,,8.135048,,,,,,,
Argentina (urban),1992,,,,,,,,,,9.230851,,,,,,
Argentina (urban),1993,,,,,,,,,,9.870495,,,,,,
Argentina (urban),1994,,,,,,,,,,9.896675,,,,,,
Argentina (urban),1995,,,,,,,,,,11.418521,,,,,,
Argentina (urban),1996,,,,,,,,,,11.940383,,,,,,
Argentina (urban),1997,,,,,,,,,,12.336944,,,,,,
Argentina (urban),1998,,,,,,,,,,,12.051348,,,,,
Argentina (urban),1999,,,,,,,,,,,12.294351,,,,,
Argentina (urban),2000,,,,,,,,,,,13.144294,,,,,
Argentina (urban),2001,,,,,,,,,,,14.838828,,,,,
Argentina (urban),2002,,,,,,,,,,,14.359739,,,,,
Argentina (urban),2003,,,,,,,,,,,,12.8052845,,,,
Argentina (urban),2004,,,,,,,,,,,,12.649165,,,,
Argentina (urban),2005,,,,,,,,,,,,12.146991,,,,
Argentina (urban),2006,,,,,,,,,,,,11.89022,,,,
Argentina (urban),2007,,,,,,,,,,,,11.641225,,,,
Argentina (urban),2008,,,,,,,,,,,,11.266271,,,,
Argentina (urban),2009,,,,,,,,,,,,11.299628,,,,
Argentina (urban),2010,,,,,,,,,,,,10.656598,,,,
Argentina (urban),2011,,,,,,,,,,,,10.011027,,,,
Argentina (urban),2012,,,,,,,,,,,,9.7368765,,,,
Argentina (urban),2013,,,,,,,,,,,,9.811977,,,,
Argentina (urban),2014,,,,,,,,,,,,9.442535,,,,
Argentina (urban),2016,,,,,,,,,,,,9.852373,,,,
Argentina (urban),2017,,,,,,,,,,,,9.441321,,,,
Argentina (urban),2018,,,,,,,,,,,,9.833327,,,,
Argentina (urban),2019,,,,,,,,,,,,10.344835,,,,
Argentina (urban),2020,,,,,,,,,,,,10.1837015,,,,
Argentina (urban),2021,,,,,,,,,,,,9.143383,,,,
Argentina (urban),2022,,,,,,,,,,,,8.333831,,,,
Argentina (urban),2023,,,,,,,,,,,,9.23623,,,,
Argentina (urban),2024,,,,,,,,,,,,8.919401,,,,
Armenia,1996,,,,,,,,,6.87296,,,,,,,
Armenia,1999,,3.803222,,,,,,,,,,,,,,
Armenia,2001,,3.6028962,,,,,,,,,,,,,,
Armenia,2002,,3.0755746,,,,,,,,,,,,,,
Armenia,2003,,2.3910923,,,,,,,,,,,,,,
Armenia,2004,,3.3408544,,,,,,,,,,,,,,
Armenia,2005,,2.810656,,,,,,,,,,,,,,
Armenia,2006,,2.8409116,,,,,,,,,,,,,,
Armenia,2007,,3.353697,,,,,,,,,,,,,,
Armenia,2008,,2.5190425,,,,,,,,,,,,,,
Armenia,2009,,2.2791245,,,,,,,,,,,,,,
Armenia,2010,,2.2562191,,,,,,,,,,,,,,
Armenia,2011,,2.6538336,,,,,,,,,,,,,,
Armenia,2012,,2.6798317,,,,,,,,,,,,,,
Armenia,2013,,3.2372336,,,,,,,,,,,,,,
Armenia,2014,,3.3902504,,,,,,,,,,,,,,
Armenia,2015,,3.573895,,,,,,,,,,,,,,
Armenia,2016,,4.663552,,,,,,,,,,,,,,
Armenia,2017,,2.8054357,,,,,,,,,,,,,,
Armenia,2018,,3.232128,,,,,,,,,,,,,,
Armenia,2019,,,2.8064132,,,,,,,,,,,,,
Armenia,2020,,,1.7742405,,,,,,,,,,,,,
Armenia,2021,,,2.4629464,,,,,,,,,,,,,
Armenia,2022,,,2.7139623,,,,,,,,,,,,,
Armenia,2023,,,2.4274738,,,,,,,,,,,,,
Australia,1981,,,,,,,,,5.0354643,,,,,,,
Australia,1985,,,,,,,,,,5.084468,,,,,,
Australia,1989,,,,,,,,,,,5.443854,,,,,
Australia,1995,,,,,,,,,,,,4.870034,,,,
Australia,2001,,,,,,,,,,,,4.9694867,,,,
Australia,2003,,,,,,,,,,,,5.06057,,,,
Australia,2004,,,,,,,,,,,,4.426998,,,,
Australia,2008,,,,,,,,,,,,4.7344937,,,,
Australia,2010,,,,,,,,,,,,4.938584,,,,
Australia,2014,,,,,,,,,,,,4.614556,,,,
Australia,2016,,,,,,,,,,,,4.9073615,,,,
Australia,2018,,,,,,,,,,,,5.3289504,,,,
Australia,2020,,,,,,,,,,,,5.516067,,,,
Austria,1994,,,,,,,,,,4.3928614,,,,,,
Austria,1995,,,,,,,,,,4.347368,,,,,,
Austria,1996,,,,,,,,,,3.8143165,,,,,,
Austria,1997,,,,,,,,,,4.1619215,,,,,,
Austria,1998,,,,,,,,,,4.0216813,,,,,,
Austria,1999,,,,,,,,,,3.5501652,,,,,,
Austria,2000,,,,,,,,,,3.6921744,,,,,,
Austria,2003,,,,,,,,,,,3.9595776,,,,,
Austria,2004,,,,,,,,,,,3.6811438,,,,,
Austria,2005,,,,,,,,,,,3.5881243,,,,,
Austria,2006,,,,,,,,,,,3.612883,,,,,
Austria,2007,,,,,,,,,,,4.649654,,,,,
Austria,2008,,,,,,,,,,,4.8978176,,,,,
Austria,2009,,,,,,,,,,,5.280343,,,,,
Austria,2010,,,,,,,,,,,4.7049623,,,,,
Austria,2011,,,,,,,,,,,4.954861,,,,,
Austria,2012,,,,,,,,,,,5.199538,,,,,
Austria,2013,,,,,,,,,,,4.379688,,,,,
Austria,2014,,,,,,,,,,,4.712967,,,,,
Austria,2015,,,,,,,,,,,5.1801467,,,,,
Austria,2016,,,,,,,,,,,5.3626375,,,,,
Austria,2017,,,,,,,,,,,5.006794,,,,,
Austria,2018,,,,,,,,,,,4.9708376,,,,,
Austria,2019,,,,,,,,,,,5.035953,,,,,
Austria,2020,,,,,,,,,,,5.29663,,,,,
Austria,2021,,,,,,,,,,,5.54318,,,,,
Austria,2022,,,,,,,,,,,5.434076,,,,,
Austria,2023,,,,,,,,,,,5.356897,,,,,
Azerbaijan,1995,5.5322104,,,,,,,,,,,,,,,
Azerbaijan,2001,,3.8008003,,,,,,,,,,,,,,
Azerbaijan,2002,,0.7657987,,,,,,,,,,,,,,
Azerbaijan,2003,,1.276094,,,,,,,,,,,,,,
Azerbaijan,2004,,0.58837295,,,,,,,,,,,,,,
Azerbaijan,2005,,0.53153974,,,,,,,,,,,,,,
Bangladesh,1983,2.406039,,,,,,,,,,,,,,,
Bangladesh,1985,1.3560667,,,,,,,,,,,,,,,
Bangladesh,1988,1.9083202,,,,,,,,,,,,,,,
Bangladesh,1991,,2.0601351,,,,,,,,,,,,,,
Bangladesh,1995,,1.980802,,,,,,,,,,,,,,
Bangladesh,2000,,,2.073064,,,,,,,,,,,,,
Bangladesh,2005,,,1.7665502,,,,,,,,,,,,,
Bangladesh,2010,,,1.9480093,,,,,,,,,,,,,
Bangladesh,2016,,,2.4218965,,,,,,,,,,,,,
Bangladesh,2022,,,,2.563749,,,,,,,,,,,,
Barbados,2016,6.324508,,,,,,,,,,,,,,,
Belarus,1993,,,,,,,,,1.2187219,,,,,,,
Belarus,1995,,,,,,,,,4.0105696,,,,,,,
Belarus,1998,,4.4639106,,,,,,,,,,,,,,
Belarus,1999,,5.158732,,,,,,,,,,,,,,
Belarus,2000,,4.7566366,,,,,,,,,,,,,,
Belarus,2001,,4.275804,,,,,,,,,,,,,,
Belarus,2002,,4.0562477,,,,,,,,,,,,,,
Belarus,2003,,3.906322,,,,,,,,,,,,,,
Belarus,2004,,2.9834883,,,,,,,,,,,,,,
Belarus,2005,,3.5665593,,,,,,,,,,,,,,
Belarus,2006,,3.6128056,,,,,,,,,,,,,,
Belarus,2007,,3.657613,,,,,,,,,,,,,,
Belarus,2008,,3.3215885,,,,,,,,,,,,,,
Belarus,2009,,3.2739785,,,,,,,,,,,,,,
Belarus,2010,,3.2963097,,,,,,,,,,,,,,
Belarus,2011,,3.1645284,,,,,,,,,,,,,,
Belarus,2012,,2.7686198,,,,,,,,,,,,,,
Belarus,2013,,2.585088,,,,,,,,,,,,,,
Belarus,2014,,2.730215,,,,,,,,,,,,,,
Belarus,2015,,2.5554345,,,,,,,,,,,,,,
Belarus,2016,,2.2742178,,,,,,,,,,,,,,
Belarus,2017,,2.1373677,,,,,,,,,,,,,,
Belarus,2018,,1.9557403,,,,,,,,,,,,,,
Belarus,2019,,2.191584,,,,,,,,,,,,,,
Belarus,2020,,1.7221557,,,,,,,,,,,,,,
Belgium,1985,,,,,,,,,2.6741292,,,,,,,
Belgium,1988,,,,,,,,,2.9397004,,,,,,,
Belgium,1992,,,,,,,,,3.2692597,,,,,,,
Belgium,1995,,,,,,,,,,4.063545,,,,,,
Belgium,1997,,,,,,,,,3.6773746,,,,,,,
Belgium,2000,,,,,,,,,,3.3309422,,,,,,
Belgium,2003,,,,,,,,,,,4.2325406,,,,,
Belgium,2004,,,,,,,,,,,3.7866414,,,,,
Belgium,2005,,,,,,,,,,,3.7643623,,,,,
Belgium,2006,,,,,,,,,,,3.9057333,,,,,
Belgium,2007,,,,,,,,,,,3.8513775,,,,,
Belgium,2008,,,,,,,,,,,3.792494,,,,,
Belgium,2009,,,,,,,,,,,4.2500315,,,,,
Belgium,2010,,,,,,,,,,,4.219088,,,,,
Belgium,2011,,,,,,,,,,,4.296821,,,,,
Belgium,2012,,,,,,,,,,,4.155675,,,,,
Belgium,2013,,,,,,,,,,,4.3722835,,,,,
Belgium,2014,,,,,,,,,,,4.09933,,,,,
Belgium,2015,,,,,,,,,,,4.298328,,,,,
Belgium,2016,,,,,,,,,,,4.30279,,,,,
Belgium,2017,,,,,,,,,,,4.1783066,,,,,
Belgium,2018,,,,,,,,,,,3.8183157,,,,,
Belgium,2019,,,,,,,,,,,3.5483441,,,,,
Belgium,2020,,,,,,,,,,,3.2982788,,,,,
Belgium,2021,,,,,,,,,,,3.357313,,,,,
Belgium,2022,,,,,,,,,,,3.0168138,,,,,
Belgium,2023,,,,,,,,,,,3.378384,,,,,
Belize,1993,,,,,,,,,10.63104,,,,,,,
Belize,1994,,,,,,,,,9.664037,,,,,,,
Belize,1995,,15.335716,,,,,,,,,,,,,,
Belize,1996,,,,,,,,,,,9.611799,,,,,
Belize,1997,,,,,,,,,11.838082,,,,,,,
Belize,1998,,,,,,,,,10.8574,,,,,,,
Belize,1999,,,,,,,,,11.505262,,,,,,,
Belize,2018,,,,7.110533,,,,,,,,,,,,
Benin,2003,4.4906583,,,,,,,,,,,,,,,
Benin,2011,,4.7661858,,,,,,,,,,,,,,
Benin,2015,,12.478112,,,,,,,,,,,,,,
Benin,2018,,,4.3588495,,,,,,,,,,,,,
Benin,2021,,,4.1436186,,,,,,,,,,,,,
