country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,37.18323,,,,,,,
Albania,2002,,39.582886,,,,,,
Albania,2005,,35.324097,,,,,,
Albania,2008,,31.657469,,,,,,
Albania,2012,,33.33443,,,,,,
Albania,2014,,,38.85331,,,,,
Albania,2015,,,31.629192,,,,,
Albania,2016,,,32.65724,,,,,
Albania,2017,,,32.138508,,,,,
Albania,2018,,,,30.04798,,,,
Albania,2019,,,,25.95964,,,,
Albania,2020,,,,27.151352,,,,
Algeria,1988,45.535313,,,,,,,
Algeria,1995,,45.035408,,,,,,
Algeria,2011,,,30.401268,,,,,
Angola,2000,56.357563,,,,,,,
Angola,2008,,53.49476,,,,,,
Angola,2018,,,61.600704,,,,,
Armenia,1999,,54.142506,,,,,,
Armenia,2001,,55.973682,,,,,,
Armenia,2002,,54.01239,,,,,,
Armenia,2003,,51.69327,,,,,,
Armenia,2004,,47.33209,,,,,,
Armenia,2005,,43.048615,,,,,,
Armenia,2006,,40.03384,,,,,,
Armenia,2007,,38.23848,,,,,,
Armenia,2008,,36.394604,,,,,,
Armenia,2009,,38.850235,,,,,,
Armenia,2010,,39.086597,,,,,,
Armenia,2011,,38.49603,,,,,,
Armenia,2012,,36.952076,,,,,,
Armenia,2013,,37.206,,,,,,
Armenia,2014,,36.664085,,,,,,
Armenia,2015,,35.518337,,,,,,
Armenia,2016,,36.852642,,,,,,
Armenia,2017,,34.699635,,,,,,
Armenia,2018,,35.17016,,,,,,
Armenia,2019,,,35.280563,,,,,
Armenia,2020,,,33.472485,,,,,
Armenia,2021,,,34.102352,,,,,
Armenia,2022,,,34.829052,,,,,
Armenia,2023,,,34.09574,,,,,
Azerbaijan,1995,51.451202,,,,,,,
Azerbaijan,2001,,47.13098,,,,,,
Azerbaijan,2002,,29.00948,,,,,,
Azerbaijan,2003,,29.65909,,,,,,
Azerbaijan,2004,,27.435158,,,,,,
Azerbaijan,2005,,23.557655,,,,,,
Bangladesh,1983,66.66922,,,,,,,
Bangladesh,1985,64.30512,,,,,,,
Bangladesh,1988,67.324615,,,,,,,
Bangladesh,1991,,67.48373,,,,,,
Bangladesh,1995,,63.779182,,,,,,
Bangladesh,2000,,,62.756042,,,,,
Bangladesh,2005,,,59.552784,,,,,
Bangladesh,2010,,,56.823853,,,,,
Bangladesh,2016,,,53.711926,,,,,
Bangladesh,2022,,,,42.898186,,,,
Barbados,2016,31.223377,,,,,,,
Belarus,1998,,61.694748,,,,,,
Belarus,1999,,59.301643,,,,,,
Belarus,2000,,55.86296,,,,,,
Belarus,2001,,48.780067,,,,,,
Belarus,2002,,45.64387,,,,,,
Belarus,2003,,43.857872,,,,,,
Belarus,2004,,38.256943,,,,,,
Belarus,2005,,33.506958,,,,,,
Belarus,2006,,31.153332,,,,,,
Belarus,2007,,28.83649,,,,,,
Belarus,2008,,26.500568,,,,,,
Belarus,2009,,26.326857,,,,,,
Belarus,2010,,25.28289,,,,,,
Belarus,2011,,24.064798,,,,,,
Belarus,2012,,21.177378,,,,,,
Belarus,2013,,20.578747,,,,,,
Belarus,2014,,18.890606,,,,,,
Belarus,2015,,20.430494,,,,,,
Belarus,2016,,20.216002,,,,,,
Belarus,2017,,18.538012,,,,,,
