country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,68364969,,,,,,,
Albania,2002,,65606941,,,,,,
Albania,2005,,61489192,,,,,,
Albania,2008,,57877404,,,,,,
Albania,2012,,57981146,,,,,,
Albania,2014,,,56073588,,,,,
Albania,2015,,,50059599,,,,,
Albania,2016,,,49308946,,,,,
Albania,2017,,,49433355,,,,,
Albania,2018,,,,46419829,,,,
Albania,2019,,,,45434723,,,,
Albania,2020,,,,44346889,,,,
Algeria,1988,535791246,,,,,,,
Algeria,1995,,626689500,,,,,,
Algeria,2011,,,728165786,,,,,
Angola,2000,367822929,,,,,,,
Angola,2008,,503279411,,,,,,
Angola,2018,,,767061543,,,,,
Armenia,1999,,76894125,,,,,,
Armenia,2001,,78674948,,,,,,
Armenia,2002,,77642543,,,,,,
Armenia,2003,,76853949,,,,,,
Armenia,2004,,72660373,,,,,,
Armenia,2005,,70017184,,,,,,
Armenia,2006,,69393489,,,,,,
Armenia,2007,,66214722,,,,,,
Armenia,2008,,65171868,,,,,,
Armenia,2009,,67594890,,,,,,
Armenia,2010,,66987022,,,,,,
Armenia,2011,,65950776,,,,,,
Armenia,2012,,65118105,,,,,,
Armenia,2013,,64138608,,,,,,
Armenia,2014,,63508191,,,,,,
Armenia,2015,,61746448,,,,,,
Armenia,2016,,59889106,,,,,,
Armenia,2017,,61005287,,,,,,
Armenia,2018,,60953707,,,,,,
Armenia,2019,,,62710403,,,,,
Armenia,2020,,,63618142,,,,,
Armenia,2021,,,62845735,,,,,
Armenia,2022,,,63062176,,,,,
Armenia,2023,,,63057042,,,,,
Azerbaijan,1995,183681041,,,,,,,
Azerbaijan,2001,,184198266,,,,,,
Azerbaijan,2002,,169291316,,,,,,
Azerbaijan,2003,,167565718,,,,,,
Azerbaijan,2004,,167510206,,,,,,
Azerbaijan,2005,,160172253,,,,,,
Bangladesh,1983,2563623763,,,,,,,
Bangladesh,1985,2656480946,,,,,,,
Bangladesh,1988,2870540198,,,,,,,
Bangladesh,1991,,3053246669,,,,,,
Bangladesh,1995,,3201200452,,,,,,
Bangladesh,2000,,,3463297334,,,,,
Bangladesh,2005,,,3654120464,,,,,
Bangladesh,2010,,,3793730443,,,,,
Bangladesh,2016,,,3934774811,,,,,
Bangladesh,2022,,,,3823035930,,,,
Barbados,2016,3736574,,,,,,,
Belarus,1998,,259995489,,,,,,
Belarus,1999,,256048334,,,,,,
Belarus,2000,,249979980,,,,,,
Belarus,2001,,237239828,,,,,,
Belarus,2002,,229960122,,,,,,
Belarus,2003,,225817774,,,,,,
Belarus,2004,,215840388,,,,,,
Belarus,2005,,197354343,,,,,,
Belarus,2006,,182626487,,,,,,
Belarus,2007,,168225888,,,,,,
Belarus,2008,,162303116,,,,,,
Belarus,2009,,160875943,,,,,,
Belarus,2010,,146160588,,,,,,
Belarus,2011,,141944592,,,,,,
Belarus,2012,,126957371,,,,,,
Belarus,2013,,112390043,,,,,,
Belarus,2014,,107739215,,,,,,
Belarus,2015,,120787080,,,,,,
Belarus,2016,,126561455,,,,,,
Belarus,2017,,122721689,,,,,,
Belarus,2018,,111244137,,,,,,
Belarus,2019,,103413268,,,,,,
Belarus,2020,,100661746,,,,,,
Belize,1995,,3715548,,,,,,
Belize,2018,,,,5086209,,,,
Benin,2003,214636640,,,,,,,
Benin,2011,,273878603,,,,,,
Benin,2015,,305302043,,,,,,
Benin,2018,,,315993544,,,,,
Benin,2021,,,338850638,,,,,
Bhutan,2003,14892608,,,,,,,
Bhutan,2007,,14869383,,,,,,
Bhutan,2012,,13945276,,,,,,
Bhutan,2017,,13774809,,,,,,
Bhutan,2022,,,10175298,,,,,
Bosnia and Herzegovina,2001,68476802,,,,,,,
Bosnia and Herzegovina,2004,46640331,,,,,,,
Bosnia and Herzegovina,2007,,39834698,,,,,,
Bosnia and Herzegovina,2011,,39349467,,,,,,
Botswana,1985,28761110,,,,,,,
Botswana,1993,34615164,,,,,,,
Botswana,2002,,38917648,,,,,,
Botswana,2009,,41781456,,,,,,
Botswana,2015,,46307681,,,,,,
Bulgaria,1989,53264320,,,,,,,
Bulgaria,1994,122236429,,,,,,,
Bulgaria,1995,,,,136013849,,,,
Bulgaria,1997,,,180371688,,,,,
Bulgaria,2001,,,,148833401,,,,
Bulgaria,2003,,,,,149391259,,,
Bulgaria,2007,,,,,118832106,,,
Burkina Faso,1994,288283426,,,,,,,
Burkina Faso,1998,,314675861,,,,,,
Burkina Faso,2003,,353335917,,,,,,
Burkina Faso,2009,,,423579708,,,,,
Burkina Faso,2014,,,,482579411,,,,
Burkina Faso,2018,,,,,527089350,,,
Burkina Faso,2021,,,,,571288787,,,
Burundi,1992,163942079,,,,,,,
Burundi,1998,,176297611,,,,,,
Burundi,2006,,218298271,,,,,,
Burundi,2013,,291501447,,,,,,
Burundi,2020,,,346995553,,,,,
Cameroon,1996,347228314,,,,,,,
Cameroon,2001,,372044151,,,,,,
Cameroon,2007,,442169904,,,,,,
Cameroon,2014,,507351786,,,,,,
Cameroon,2021,,,637986762,,,,,
Cape Verde,2001,11127493,,,,,,,
Cape Verde,2007,,11432528,,,,,,
Cape Verde,2015,,,11097045,,,,,
Central African Republic,1992,87408491,,,,,,,
Central African Republic,2008,,121415490,,,,,,
Central African Republic,2021,,,139361431,,,,,
Chad,2003,256708308,,,,,,,
Chad,2011,326475108,,,,,,,
Chad,2018,,419287479,,,,,,
Chad,2022,,469600849,,,,,,
China,1990,,31659686186,,,,,,
China,1993,,32536254352,,,,,,
China,1996,,32720478573,,,,,,
China,1999,,33278647549,,,,,,
China,2002,,32868345389,,,,,,
China,2005,,31825040546,,,,,,
China,2008,,30779616622,,,,,,
China,2010,,29682621933,,,,,,
China,2011,,29086755962,,,,,,
China,2012,,28303894191,,,,,,
China,2013,,,26970875883,,,,,
China,2014,,,26113017065,,,,,
China,2015,,,25319587094,,,,,
China,2016,,,24549999201,,,,,
China,2017,,,23996103646,,,,,
China,2018,,,23096421323,,,,,
China,2019,,,22319513772,,,,,
China,2020,,,22988161160,,,,,
China,2021,,,20774950319,,,,,
China,2022,,,20824452621,,,,,
China (rural),1990,,23554029969,,,,,,
China (rural),1993,,23527272232,,,,,,
China (rural),1996,,22757827517,,,,,,
China (rural),1999,,22394029641,,,,,,
China (rural),2002,,21331736352,,,,,,
China (rural),2005,,19645249114,,,,,,
China (rural),2008,,18192828134,,,,,,
China (rural),2010,,17102786417,,,,,,
China (rural),2011,,16466713177,,,,,,
China (rural),2012,,15828153523,,,,,,
China (rural),2013,,,14688303425,,,,,
China (rural),2014,,,13983044933,,,,,
China (rural),2015,,,13319152702,,,,,
China (rural),2016,,,12730905402,,,,,
China (rural),2017,,,12163334395,,,,,
China (rural),2018,,,11438560278,,,,,
China (rural),2019,,,10809318122,,,,,
China (rural),2020,,,10541354052,,,,,
China (rural),2021,,,9393706398,,,,,
China (rural),2022,,,9035426285,,,,,
China (urban),1990,,8105654819,,,,,,
China (urban),1993,,9008984268,,,,,,
China (urban),1996,,9962651691,,,,,,
China (urban),1999,,10884618307,,,,,,
China (urban),2002,,11536609505,,,,,,
China (urban),2005,,12179793301,,,,,,
China (urban),2008,,12586789618,,,,,,
China (urban),2010,,12579836301,,,,,,
China (urban),2011,,12620043572,,,,,,
China (urban),2012,,12475742439,,,,,,
China (urban),2013,,,12282572725,,,,,
China (urban),2014,,,12129971713,,,,,
China (urban),2015,,,12000434786,,,,,
China (urban),2016,,,11819092497,,,,,
China (urban),2017,,,11832768999,,,,,
China (urban),2018,,,11657861613,,,,,
China (urban),2019,,,11510196495,,,,,
China (urban),2020,,,12446804215,,,,,
China (urban),2021,,,11381244583,,,,,
China (urban),2022,,,11789026783,,,,,
Comoros,2004,13420996,,,,,,,
Comoros,2014,,16912681,,,,,,
Congo,2005,95498308,,,,,,,
Congo,2011,115289086,,,,,,,
Cote d'Ivoire,1985,212206358,,,,,,,
Cote d'Ivoire,1986,231046616,,,,,,,
Cote d'Ivoire,1987,249220653,,,,,,,
Cote d'Ivoire,1988,276013250,,,,,,,
Cote d'Ivoire,1992,,341411412,,,,,,
Cote d'Ivoire,1995,,373429615,,,,,,
Cote d'Ivoire,1998,,428991603,,,,,,
