country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,2.920094,,,,,,,
Albania,2002,,3.3054245,,,,,,
Albania,2005,,3.663754,,,,,,
Albania,2008,,2.7123,,,,,,
Albania,2012,,3.2169394,,,,,,
Albania,2014,,,5.7344604,,,,,
Albania,2015,,,4.3638186,,,,,
Albania,2016,,,5.11935,,,,,
Albania,2017,,,4.6653748,,,,,
Albania,2018,,,,4.883077,,,,
Albania,2019,,,,3.3910918,,,,
Albania,2020,,,,3.8721375,,,,
Algeria,1988,5.380921,,,,,,,
Algeria,1995,,5.6762753,,,,,,
Algeria,2011,,,2.465062,,,,,
Angola,2000,12.817394,,,,,,,
Angola,2008,,7.7168746,,,,,,
Angola,2018,,,11.072429,,,,,
Armenia,1999,,3.803222,,,,,,
Armenia,2001,,3.6028962,,,,,,
Armenia,2002,,3.0755746,,,,,,
Armenia,2003,,2.3910923,,,,,,
Armenia,2004,,3.3408544,,,,,,
Armenia,2005,,2.810656,,,,,,
Armenia,2006,,2.8409116,,,,,,
Armenia,2007,,3.353697,,,,,,
Armenia,2008,,2.5190425,,,,,,
Armenia,2009,,2.2791245,,,,,,
Armenia,2010,,2.2562191,,,,,,
Armenia,2011,,2.6538336,,,,,,
Armenia,2012,,2.6798317,,,,,,
Armenia,2013,,3.2372336,,,,,,
Armenia,2014,,3.3902504,,,,,,
Armenia,2015,,3.573895,,,,,,
Armenia,2016,,4.663552,,,,,,
Armenia,2017,,2.8054357,,,,,,
Armenia,2018,,3.232128,,,,,,
Armenia,2019,,,2.8064132,,,,,
Armenia,2020,,,1.7742405,,,,,
Armenia,2021,,,2.4629464,,,,,
Armenia,2022,,,2.7139623,,,,,
Armenia,2023,,,2.4274738,,,,,
Azerbaijan,1995,5.5322104,,,,,,,
Azerbaijan,2001,,3.8008003,,,,,,
Azerbaijan,2002,,0.7657987,,,,,,
Azerbaijan,2003,,1.276094,,,,,,
Azerbaijan,2004,,0.58837295,,,,,,
Azerbaijan,2005,,0.53153974,,,,,,
Bangladesh,1983,2.406039,,,,,,,
Bangladesh,1985,1.3560667,,,,,,,
Bangladesh,1988,1.9083202,,,,,,,
Bangladesh,1991,,2.0601351,,,,,,
Bangladesh,1995,,1.980802,,,,,,
Bangladesh,2000,,,2.073064,,,,,
Bangladesh,2005,,,1.7665502,,,,,
Bangladesh,2010,,,1.9480093,,,,,
Bangladesh,2016,,,2.4218965,,,,,
Bangladesh,2022,,,,2.563749,,,,
Barbados,2016,6.324508,,,,,,,
Belarus,1998,,4.4639106,,,,,,
Belarus,1999,,5.158732,,,,,,
Belarus,2000,,4.7566366,,,,,,
Belarus,2001,,4.275804,,,,,,
Belarus,2002,,4.0562477,,,,,,
Belarus,2003,,3.906322,,,,,,
Belarus,2004,,2.9834883,,,,,,
Belarus,2005,,3.5665593,,,,,,
Belarus,2006,,3.6128056,,,,,,
Belarus,2007,,3.657613,,,,,,
Belarus,2008,,3.3215885,,,,,,
Belarus,2009,,3.2739785,,,,,,
Belarus,2010,,3.2963097,,,,,,
Belarus,2011,,3.1645284,,,,,,
Belarus,2012,,2.7686198,,,,,,
Belarus,2013,,2.585088,,,,,,
Belarus,2014,,2.730215,,,,,,
Belarus,2015,,2.5554345,,,,,,
Belarus,2016,,2.2742178,,,,,,
Belarus,2017,,2.1373677,,,,,,
Belarus,2018,,1.9557403,,,,,,
Belarus,2019,,2.191584,,,,,,
Belarus,2020,,1.7221557,,,,,,
Belize,1995,,15.335716,,,,,,
Belize,2018,,,,7.110533,,,,
Benin,2003,4.4906583,,,,,,,
Benin,2011,,4.7661858,,,,,,
Benin,2015,,12.478112,,,,,,
Benin,2018,,,4.3588495,,,,,
Benin,2021,,,4.1436186,,,,,
Bhutan,2003,4.600221,,,,,,,
Bhutan,2007,,5.43042,,,,,,
Bhutan,2012,,4.9518476,,,,,,
Bhutan,2017,,5.5337043,,,,,,
Bhutan,2022,,,3.4958408,,,,,
Bosnia and Herzegovina,2001,3.1229014,,,,,,,
Bosnia and Herzegovina,2004,4.802547,,,,,,,
Bosnia and Herzegovina,2007,,4.8795815,,,,,,
Bosnia and Herzegovina,2011,,5.0548368,,,,,,
Botswana,1985,10.590055,,,,,,,
Botswana,1993,10.769289,,,,,,,
Botswana,2002,,10.515438,,,,,,
Botswana,2009,,10.1540985,,,,,,
Botswana,2015,,9.095614,,,,,,
Bulgaria,1989,1.6786993,,,,,,,
Bulgaria,1994,1.9556124,,,,,,,
Bulgaria,1995,,,,4.352915,,,,
Bulgaria,1997,,,1.308718,,,,,
Bulgaria,2001,,,,6.2967243,,,,
Bulgaria,2003,,,,,3.5279126,,,
Bulgaria,2007,,,,,4.3349433,,,
Burkina Faso,1994,4.5130506,,,,,,,
Burkina Faso,1998,,5.562262,,,,,,
Burkina Faso,2003,,5.7529926,,,,,,
Burkina Faso,2009,,,4.5585647,,,,,
Burkina Faso,2014,,,,2.025169,,,,
Burkina Faso,2018,,,,,4.3168387,,,
Burkina Faso,2021,,,,,3.9489806,,,
Burundi,1992,3.702044,,,,,,,
Burundi,1998,,8.4637575,,,,,,
Burundi,2006,,1.2565658,,,,,,
Burundi,2013,,4.620023,,,,,,
Burundi,2020,,,4.6182523,,,,,
Cameroon,1996,4.227525,,,,,,,
Cameroon,2001,,5.4728193,,,,,,
Cameroon,2007,,6.117982,,,,,,
Cameroon,2014,,9.827633,,,,,,
Cameroon,2021,,,8.093142,,,,,
Cape Verde,2001,8.565895,,,,,,,
Cape Verde,2007,,7.4614854,,,,,,
Cape Verde,2015,,,6.8395815,,,,,
Central African Republic,1992,12.166567,,,,,,,
Central African Republic,2008,,10.706661,,,,,,
Central African Republic,2021,,,6.777097,,,,,
Chad,2003,5.791802,,,,,,,
Chad,2011,9.777838,,,,,,,
Chad,2018,,4.388093,,,,,,
Chad,2022,,5.726062,,,,,,
China,1990,,3.2970629,,,,,,
China,1993,,3.5057545,,,,,,
China,1996,,4.387463,,,,,,
China,1999,,5.4438186,,,,,,
China,2002,,6.989914,,,,,,
China,2005,,6.6133714,,,,,,
China,2008,,8.30028,,,,,,
China,2010,,8.625427,,,,,,
China,2011,,7.9911313,,,,,,
China,2012,,8.247313,,,,,,
China,2013,,,6.163099,,,,,
China,2014,,,6.316099,,,,,
China,2015,,,5.9567766,,,,,
China,2016,,,5.830326,,,,,
China,2017,,,5.9653606,,,,,
China,2018,,,5.7863407,,,,,
China,2019,,,5.228064,,,,,
China,2020,,,4.2582283,,,,,
China,2021,,,4.2073936,,,,,
China,2022,,,4.4333014,,,,,
China (rural),1990,,2.4211493,,,,,,
China (rural),1993,,2.5862026,,,,,,
China (rural),1996,,3.0213912,,,,,,
China (rural),1999,,3.4623575,,,,,,
China (rural),2002,,4.0849476,,,,,,
China (rural),2005,,4.2955465,,,,,,
China (rural),2008,,5.0071645,,,,,,
China (rural),2010,,4.9155107,,,,,,
China (rural),2011,,5.0553393,,,,,,
China (rural),2012,,5.3357067,,,,,,
China (rural),2013,,,4.2174306,,,,,
China (rural),2014,,,4.417272,,,,,
China (rural),2015,,,4.05715,,,,,
China (rural),2016,,,4.0937023,,,,,
China (rural),2017,,,4.1427655,,,,,
China (rural),2018,,,4.1073895,,,,,
China (rural),2019,,,3.3569508,,,,,
China (rural),2020,,,2.1470976,,,,,
China (rural),2021,,,2.7318494,,,,,
China (rural),2022,,,3.1053326,,,,,
China (urban),1990,,2.5730834,,,,,,
China (urban),1993,,3.0587053,,,,,,
China (urban),1996,,3.098396,,,,,,
China (urban),1999,,4.110249,,,,,,
China (urban),2002,,4.472765,,,,,,
China (urban),2005,,4.9494433,,,,,,
China (urban),2008,,4.8727775,,,,,,
China (urban),2010,,4.8483315,,,,,,
China (urban),2011,,4.6390867,,,,,,
China (urban),2012,,4.7169976,,,,,,
China (urban),2013,,,5.8501873,,,,,
China (urban),2014,,,6.2504106,,,,,
China (urban),2015,,,5.8983197,,,,,
China (urban),2016,,,5.7337093,,,,,
China (urban),2017,,,6.035423,,,,,
China (urban),2018,,,6.165851,,,,,
China (urban),2019,,,5.8574815,,,,,
China (urban),2020,,,5.1377554,,,,,
China (urban),2021,,,4.8392224,,,,,
China (urban),2022,,,4.97293,,,,,
Comoros,2004,7.7783422,,,,,,,
Comoros,2014,,9.59158,,,,,,
Congo,2005,7.4819145,,,,,,,
Congo,2011,10.103583,,,,,,,
Cote d'Ivoire,1985,8.111494,,,,,,,
Cote d'Ivoire,1986,4.779802,,,,,,,
Cote d'Ivoire,1987,5.706685,,,,,,,
Cote d'Ivoire,1988,5.143708,,,,,,,
Cote d'Ivoire,1992,,6.9414697,,,,,,
Cote d'Ivoire,1995,,5.100799,,,,,,
Cote d'Ivoire,1998,,5.8680058,,,,,,
Cote d'Ivoire,2008,,,8.176043,,,,,
Cote d'Ivoire,2015,,,6.9715075,,,,,
Cote d'Ivoire,2018,,,,4.7449646,,,,
Cote d'Ivoire,2021,,,,3.942679,,,,
Croatia,1998,,3.4908717,,,,,,
Croatia,1999,,,2.7861903,,,,,
Croatia,2000,,,3.5742288,,,,,
Croatia,2001,,,3.7349586,,,,,
Croatia,2004,,3.3647459,,,,,,
Croatia,2008,,3.5655596,,,,,,
Croatia,2009,,3.7686138,,,,,,
Croatia,2010,,2.69124,,,,,,
Democratic Republic of Congo,2004,5.9302287,,,,,,,
Democratic Republic of Congo,2012,7.3054767,,,,,,,
Democratic Republic of Congo,2020,,6.515638,,,,,,
Djibouti,2002,6.6942787,,,,,,,
Djibouti,2012,,10.27174,,,,,,
Djibouti,2013,,,9.147066,,,,,
Djibouti,2017,,,,8.121145,,,,
East Timor,2001,4.4354014,,,,,,,
East Timor,2007,1.9894762,,,,,,,
East Timor,2014,2.066983,,,,,,,
Egypt,1990,2.3250682,,,,,,,
Egypt,1995,1.2465528,,,,,,,
Egypt,1999,,1.6337991,,,,,,
Egypt,2004,,,1.9657831,,,,,
Egypt,2008,,,1.941577,,,,,
Egypt,2010,,,,1.6962539,,,,
Egypt,2012,,,,1.4876484,,,,
Egypt,2015,,,,1.8536879,,,,
Egypt,2017,,,,2.12612,,,,
Egypt,2019,,,,,2.0409853,,,
Egypt,2021,,,,1.7705221,,,,
Equatorial Guinea,2022,5.8749866,,,,,,,
Estonia,1995,,4.5577602,,,,,,
Estonia,1998,,4.746188,,,,,,
Estonia,2000,,,5.5714283,,,,,
Estonia,2001,,,5.1037936,,,,,
Estonia,2002,,,5.4465494,,,,,
Estonia,2003,,,5.8021655,,,,,
Estonia,2004,,,5.806536,,,,,
Eswatini,1994,10.443734,,,,,,,
Eswatini,2000,,6.0910215,,,,,,
Eswatini,2009,,9.190823,,,,,,
Eswatini,2016,,8.79356,,,,,,
Ethiopia,1995,,4.1775346,,,,,,
Ethiopia,1999,,2.3632548,,,,,,
Ethiopia,2004,,1.9998653,,,,,,
Ethiopia,2010,,3.8723993,,,,,,
Ethiopia,2015,,5.094028,,,,,,
Ethiopia,2021,,3.5420032,,,,,,
Ethiopia (rural),1981,2.8044524,,,,,,,
Fiji,2002,5.262459,,,,,,,
Fiji,2008,4.4995346,,,,,,,
Fiji,2013,3.5192986,,,,,,,
Fiji,2019,,3.5686612,,,,,,
Gabon,2005,6.3921733,,,,,,,
Gabon,2017,,7.2905884,,,,,,
Gambia,1998,8.73569,,,,,,,
Gambia,2003,,7.803285,,,,,,
Gambia,2010,,,6.556951,,,,,
Gambia,2015,,,,4.1970468,,,,
Gambia,2020,,,,5.382656,,,,
Georgia,1996,7.505128,,,,,,,
Georgia,1997,,9.28019,,,,,,
Georgia,1998,,,8.975501,,,,,
Georgia,1999,,,8.621399,,,,,
Georgia,2000,,,8.522357,,,,,
Georgia,2001,,,7.428165,,,,,
Georgia,2002,,,6.758139,,,,,
Georgia,2003,,,7.090664,,,,,
