country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,8433153.0,,,,,,,
Albania,2002,,8837695.0,,,,,,
Albania,2005,,6851931.5,,,,,,
Albania,2008,,5478483.0,,,,,,
Albania,2012,,5838705.5,,,,,,
Albania,2014,,,6439283.5,,,,,
Albania,2015,,,4137351.5,,,,,
Albania,2016,,,4214074.0,,,,,
Albania,2017,,,4129984.8,,,,,
Albania,2018,,,,2996907,,,,
Albania,2019,,,,2521774,,,,
Albania,2020,,,,2392807,,,,
Algeria,1988,85261180.0,,,,,,,
Algeria,1995,,96757420.0,,,,,,
Algeria,2011,,,65490410.0,,,,,
Angola,2000,70702430.0,,,,,,,
Angola,2008,,92266670.0,,,,,,
Angola,2018,,,166458180.0,,,,,
Armenia,1999,,15437675.0,,,,,,
Armenia,2001,,16220283.0,,,,,,
Armenia,2002,,15522491.0,,,,,,
Armenia,2003,,14921898.0,,,,,,
Armenia,2004,,12603427.0,,,,,,
Armenia,2005,,10890025.0,,,,,,
Armenia,2006,,9862577.0,,,,,,
Armenia,2007,,8595899.0,,,,,,
Armenia,2008,,7798446.5,,,,,,
Armenia,2009,,9199639.0,,,,,,
Armenia,2010,,9269711.0,,,,,,
Armenia,2011,,8747842.0,,,,,,
Armenia,2012,,8254277.0,,,,,,
Armenia,2013,,7947228.0,,,,,,
Armenia,2014,,7729438.0,,,,,,
Armenia,2015,,6946775.5,,,,,,
Armenia,2016,,6448457.0,,,,,,
Armenia,2017,,6938494.0,,,,,,
Armenia,2018,,7043742.0,,,,,,
Armenia,2019,,,7496008.5,,,,,
Armenia,2020,,,7368971.0,,,,,
Armenia,2021,,,7331719.0,,,,,
Armenia,2022,,,7413531.0,,,,,
Armenia,2023,,,7298619.5,,,,,
Azerbaijan,1995,34678080.0,,,,,,,
Azerbaijan,2001,,31175290.0,,,,,,
Azerbaijan,2002,,16906206.0,,,,,,
Azerbaijan,2003,,16173235.0,,,,,,
Azerbaijan,2004,,15147571.0,,,,,,
Azerbaijan,2005,,11287304.0,,,,,,
Bangladesh,1983,635308000.0,,,,,,,
Bangladesh,1985,637578900.0,,,,,,,
Bangladesh,1988,714495940.0,,,,,,,
Bangladesh,1991,,762359550.0,,,,,,
Bangladesh,1995,,756547800.0,,,,,,
Bangladesh,2000,,,804588300.0,,,,,
Bangladesh,2005,,,808656900.0,,,,,
Bangladesh,2010,,,802087600.0,,,,,
Bangladesh,2016,,,786461060.0,,,,,
Bangladesh,2022,,,,593187819,,,,
Barbados,2016,208275.53,,,,,,,
Belarus,1998,,59886390.0,,,,,,
Belarus,1999,,57030100.0,,,,,,
Belarus,2000,,52614780.0,,,,,,
Belarus,2001,,42960016.0,,,,,,
Belarus,2002,,38424796.0,,,,,,
Belarus,2003,,35845396.0,,,,,,
Belarus,2004,,29055880.0,,,,,,
Belarus,2005,,20345726.0,,,,,,
Belarus,2006,,15332751.0,,,,,,
Belarus,2007,,11596084.0,,,,,,
Belarus,2008,,9474730.0,,,,,,
Belarus,2009,,8902845.0,,,,,,
Belarus,2010,,6891678.5,,,,,,
Belarus,2011,,5666119.5,,,,,,
Belarus,2012,,3411470.2,,,,,,
Belarus,2013,,2198670.2,,,,,,
Belarus,2014,,1990728.0,,,,,,
Belarus,2015,,2674956.5,,,,,,
Belarus,2016,,2881152.2,,,,,,
Belarus,2017,,2417675.5,,,,,,
Belarus,2018,,1638718.0,,,,,,
Belarus,2019,,1413833.9,,,,,,
Belarus,2020,,965630.0,,,,,,
