country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,36881566,,,,,,,
Albania,2002,,35811329,,,,,,
Albania,2005,,32245346,,,,,,
Albania,2008,,29418096,,,,,,
Albania,2012,,29781584,,,,,,
Albania,2014,,,28791060,,,,,
Albania,2015,,,23932221,,,,,
Albania,2016,,,23491931,,,,,
Albania,2017,,,23527185,,,,,
Albania,2018,,,,20761925,,,,
Albania,2019,,,,20135050,,,,
Albania,2020,,,,19295788,,,,
Algeria,1988,301450047,,,,,,,
Algeria,1995,,349300576,,,,,,
Algeria,2011,,,370232292,,,,,
Angola,2000,212759999,,,,,,,
Angola,2008,,289409283,,,,,,
Angola,2018,,,458747576,,,,,
Armenia,1999,,45656478,,,,,,
Armenia,2001,,46886947,,,,,,
Armenia,2002,,46043646,,,,,,
Armenia,2003,,45440476,,,,,,
Armenia,2004,,41820175,,,,,,
Armenia,2005,,39481693,,,,,,
Armenia,2006,,38613404,,,,,,
Armenia,2007,,35891836,,,,,,
Armenia,2008,,34878937,,,,,,
Armenia,2009,,37274671,,,,,,
Armenia,2010,,36990582,,,,,,
Armenia,2011,,36129314,,,,,,
Armenia,2012,,35439580,,,,,,
Armenia,2013,,34497379,,,,,,
Armenia,2014,,34138231,,,,,,
Armenia,2015,,32728707,,,,,,
Armenia,2016,,30827562,,,,,,
Armenia,2017,,32298936,,,,,,
Armenia,2018,,32440606,,,,,,
Armenia,2019,,,33809545,,,,,
Armenia,2020,,,34310631,,,,,
Armenia,2021,,,33736961,,,,,
Armenia,2022,,,33896422,,,,,
Armenia,2023,,,33882083,,,,,
Azerbaijan,1995,107486723,,,,,,,
Azerbaijan,2001,,105112449,,,,,,
Azerbaijan,2002,,89349665,,,,,,
Azerbaijan,2003,,87366371,,,,,,
Azerbaijan,2004,,86830201,,,,,,
Azerbaijan,2005,,79616718,,,,,,
Bangladesh,1983,1597873123,,,,,,,
Bangladesh,1985,1643164998,,,,,,,
Bangladesh,1988,1788834043,,,,,,,
Bangladesh,1991,,1905355300,,,,,,
Bangladesh,1995,,1969655983,,,,,,
Bangladesh,2000,,,2123230784,,,,,
Bangladesh,2005,,,2215595351,,,,,
Bangladesh,2010,,,2280458226,,,,,
Bangladesh,2016,,,2338335326,,,,,
Bangladesh,2022,,,,2155946047,,,,
Barbados,2016,1526904,,,,,,,
Belarus,1998,,159464094,,,,,,
Belarus,1999,,155939305,,,,,,
Belarus,2000,,150469060,,,,,,
Belarus,2001,,138463074,,,,,,
Belarus,2002,,132001884,,,,,,
Belarus,2003,,128394164,,,,,,
Belarus,2004,,119117306,,,,,,
Belarus,2005,,102629870,,,,,,
Belarus,2006,,90101929,,,,,,
Belarus,2007,,78792493,,,,,,
Belarus,2008,,73311122,,,,,,
Belarus,2009,,72562101,,,,,,
Belarus,2010,,61912247,,,,,,
Belarus,2011,,57953720,,,,,,
Belarus,2012,,47091251,,,,,,
Belarus,2013,,37814220,,,,,,
Belarus,2014,,35291227,,,,,,
Belarus,2015,,42676471,,,,,,
Belarus,2016,,46079963,,,,,,
Belarus,2017,,43757567,,,,,,
Belarus,2018,,36315517,,,,,,
Belarus,2019,,31917279,,,,,,
Belarus,2020,,30157194,,,,,,
Belize,1995,,2008319,,,,,,
Belize,2018,,,,2203533,,,,
Benin,2003,135735820,,,,,,,
Benin,2011,,172267693,,,,,,
Benin,2015,,192336527,,,,,,
Benin,2018,,,191468012,,,,,
Benin,2021,,,202964278,,,,,
Bhutan,2003,8678566,,,,,,,
Bhutan,2007,,8310862,,,,,,
Bhutan,2012,,7270343,,,,,,
Bhutan,2017,,6941237,,,,,,
Bhutan,2022,,,3807141,,,,,
Bosnia and Herzegovina,2001,30023839,,,,,,,
Bosnia and Herzegovina,2004,17307576,,,,,,,
Bosnia and Herzegovina,2007,,13904045,,,,,,
Bosnia and Herzegovina,2011,,14107514,,,,,,
Botswana,1985,17584233,,,,,,,
Botswana,1993,20814238,,,,,,,
Botswana,2002,,22890351,,,,,,
Botswana,2009,,23572616,,,,,,
Botswana,2015,,26160581,,,,,,
Bulgaria,1989,10464840,,,,,,,
Bulgaria,1994,46770454,,,,,,,
Bulgaria,1995,,,,60830206,,,,
Bulgaria,1997,,,98548466,,,,,
Bulgaria,2001,,,,73309009,,,,
Bulgaria,2003,,,,,74624553,,,
Bulgaria,2007,,,,,50559621,,,
Burkina Faso,1994,186562997,,,,,,,
Burkina Faso,1998,,202697228,,,,,,
Burkina Faso,2003,,222842128,,,,,,
Burkina Faso,2009,,,267037306,,,,,
Burkina Faso,2014,,,,300886831,,,,
Burkina Faso,2018,,,,,322740414,,,
Burkina Faso,2021,,,,,349394356,,,
Burundi,1992,105358013,,,,,,,
Burundi,1998,,113727495,,,,,,
Burundi,2006,,139651310,,,,,,
Burundi,2013,,185434779,,,,,,
Burundi,2020,,,220460719,,,,,
Cameroon,1996,214508629,,,,,,,
Cameroon,2001,,221375076,,,,,,
Cameroon,2007,,264406754,,,,,,
Cameroon,2014,,294678652,,,,,,
Cameroon,2021,,,370357327,,,,,
Cape Verde,2001,6647485,,,,,,,
Cape Verde,2007,,6649932,,,,,,
Cape Verde,2015,,,6210340,,,,,
Central African Republic,1992,56491678,,,,,,,
Central African Republic,2008,,76418740,,,,,,
Central African Republic,2021,,,88330441,,,,,
Chad,2003,161985157,,,,,,,
Chad,2011,199697209,,,,,,,
Chad,2018,,256007582,,,,,,
Chad,2022,,286023882,,,,,,
China,1990,,20312674477,,,,,,
China,1993,,20751855695,,,,,,
China,1996,,20550347177,,,,,,
China,1999,,20770880435,,,,,,
China,2002,,20152397036,,,,,,
China,2005,,18960161260,,,,,,
China,2008,,17854394792,,,,,,
China,2010,,16799683581,,,,,,
China,2011,,16203420189,,,,,,
China,2012,,15471259175,,,,,,
China,2013,,,14255685403,,,,,
China,2014,,,13487785597,,,,,
China,2015,,,12784860200,,,,,
China,2016,,,12152866641,,,,,
China,2017,,,11725499626,,,,,
China,2018,,,11006742013,,,,,
China,2019,,,10388286968,,,,,
China,2020,,,10726862325,,,,,
China,2021,,,9051475795,,,,,
China,2022,,,9110997937,,,,,
China (rural),1990,,15208676282,,,,,,
China (rural),1993,,15172486312,,,,,,
China (rural),1996,,14473596895,,,,,,
China (rural),1999,,14245012137,,,,,,
China (rural),2002,,13471397885,,,,,,
China (rural),2005,,12180095194,,,,,,
China (rural),2008,,11167274112,,,,,,
China (rural),2010,,10387002732,,,,,,
China (rural),2011,,9889010041,,,,,,
China (rural),2012,,9398906091,,,,,,
China (rural),2013,,,8395790383,,,,,
China (rural),2014,,,7845911969,,,,,
China (rural),2015,,,7341321436,,,,,
China (rural),2016,,,6912975505,,,,,
China (rural),2017,,,6520223469,,,,,
China (rural),2018,,,5971713071,,,,,
China (rural),2019,,,5515723978,,,,,
China (rural),2020,,,5371289312,,,,,
China (rural),2021,,,4473743183,,,,,
China (rural),2022,,,4294880235,,,,,
China (urban),1990,,5103998499,,,,,,
China (urban),1993,,5579369983,,,,,,
China (urban),1996,,6076750711,,,,,,
China (urban),1999,,6525869802,,,,,,
China (urban),2002,,6680998932,,,,,,
China (urban),2005,,6780066598,,,,,,
China (urban),2008,,6687122333,,,,,,
China (urban),2010,,6412682007,,,,,,
China (urban),2011,,6314410009,,,,,,
China (urban),2012,,6072354281,,,,,,
China (urban),2013,,,5859896642,,,,,
China (urban),2014,,,5641873732,,,,,
China (urban),2015,,,5443539052,,,,,
China (urban),2016,,,5239891076,,,,,
China (urban),2017,,,5205275483,,,,,
China (urban),2018,,,5035029872,,,,,
China (urban),2019,,,4872562918,,,,,
China (urban),2020,,,5355572681,,,,,
China (urban),2021,,,4577732807,,,,,
China (urban),2022,,,4816118515,,,,,
Comoros,2004,7909514,,,,,,,
Comoros,2014,,9969038,,,,,,
Congo,2005,58921918,,,,,,,
Congo,2011,69448134,,,,,,,
Cote d'Ivoire,1985,117514579,,,,,,,
Cote d'Ivoire,1986,129588764,,,,,,,
Cote d'Ivoire,1987,143344451,,,,,,,
Cote d'Ivoire,1988,163190755,,,,,,,
Cote d'Ivoire,1992,,207093667,,,,,,
Cote d'Ivoire,1995,,226385642,,,,,,
Cote d'Ivoire,1998,,263094675,,,,,,
Cote d'Ivoire,2008,,,338771446,,,,,
Cote d'Ivoire,2015,,,398975279,,,,,
Cote d'Ivoire,2018,,,,389497938,,,,
Cote d'Ivoire,2021,,,,425564266,,,,
Croatia,1998,,2181151,,,,,,
Croatia,1999,,,14615295,,,,,
Croatia,2000,,,13347593,,,,,
Croatia,2001,,,14544820,,,,,
Croatia,2004,,3831279,,,,,,
Croatia,2008,,5106848,,,,,,
Croatia,2009,,5417327,,,,,,
Croatia,2010,,5889980,,,,,,
Democratic Republic of Congo,2004,1105780414,,,,,,,
Democratic Republic of Congo,2012,1318159492,,,,,,,
Democratic Republic of Congo,2020,,1735973477,,,,,,
Djibouti,2002,11760507,,,,,,,
Djibouti,2012,,13420348,,,,,,
Djibouti,2013,,,14199913,,,,,
Djibouti,2017,,,,14886002,,,,
East Timor,2001,13402514,,,,,,,
East Timor,2007,16986576,,,,,,,
East Timor,2014,19168038,,,,,,,
Egypt,1990,768282662,,,,,,,
Egypt,1995,879702179,,,,,,,
Egypt,1999,,865901378,,,,,,
Egypt,2004,,,1015530268,,,,,
Egypt,2008,,,1087612525,,,,,
Egypt,2010,,,,1062976549,,,,
Egypt,2012,,,,1087132419,,,,
Egypt,2015,,,,1113914126,,,,
Egypt,2017,,,,1276272353,,,,
Egypt,2019,,,,,1266122037,,,
Egypt,2021,,,,1278325330,,,,
Equatorial Guinea,2022,20726431,,,,,,,
Estonia,1995,,13691195,,,,,,
Estonia,1998,,11476115,,,,,,
Estonia,2000,,,12160838,,,,,
Estonia,2001,,,12477309,,,,,
Estonia,2002,,,12068740,,,,,
Estonia,2003,,,11697002,,,,,
Estonia,2004,,,10137862,,,,,
Eswatini,1994,17933684,,,,,,,
Eswatini,2000,,17134352,,,,,,
Eswatini,2009,,17688410,,,,,,
Eswatini,2016,,16605262,,,,,,
Ethiopia,1995,,1000866251,,,,,,
Ethiopia,1999,,1131951610,,,,,,
Ethiopia,2004,,1244104536,,,,,,
Ethiopia,2010,,1450652143,,,,,,
Ethiopia,2015,,1616104543,,,,,,
Ethiopia,2021,,1936446226,,,,,,
Ethiopia (rural),1981,559054967,,,,,,,
Fiji,2002,9088679,,,,,,,
Fiji,2008,9108778,,,,,,,
Fiji,2013,9051145,,,,,,,
Fiji,2019,,10725545,,,,,,
Gabon,2005,16314419,,,,,,,
Gabon,2017,,17210709,,,,,,
Gambia,1998,24228167,,,,,,,
Gambia,2003,,25518346,,,,,,
Gambia,2010,,,28682269,,,,,
Gambia,2015,,,,30978376,,,,
Gambia,2020,,,,35011793,,,,
Georgia,1996,52920849,,,,,,,
Georgia,1997,,61866592,,,,,,
Georgia,1998,,,60440104,,,,,
Georgia,1999,,,61771499,,,,,
Georgia,2000,,,61340923,,,,,
Georgia,2001,,,61242832,,,,,
Georgia,2002,,,55501028,,,,,
Georgia,2003,,,55173561,,,,,
Georgia,2004,,,53987479,,,,,
Georgia,2005,,,54208809,,,,,
Georgia,2006,,,54229044,,,,,
Georgia,2007,,,54552724,,,,,
Georgia,2008,,,52646778,,,,,
Georgia,2009,,,52375902,,,,,
Georgia,2010,,,52209489,,,,,
Georgia,2011,,,51107489,,,,,
Georgia,2012,,,48998907,,,,,
Georgia,2013,,,46659312,,,,,
Georgia,2014,,,45436815,,,,,
Georgia,2015,,,45107846,,,,,
Georgia,2016,,,45002197,,,,,
Georgia,2017,,,44438990,,,,,
Georgia,2018,,,44566046,,,,,
Georgia,2019,,,44605204,,,,,
Georgia,2020,,,46692739,,,,,
Georgia,2021,,,45514879,,,,,
Georgia,2022,,,42471772,,,,,
Georgia,2023,,,39313609,,,,,
Georgia,2024,,,37106169,,,,,
Ghana,1987,255602323,,,,,,,
Ghana,1988,261017740,,,,,,,
Ghana,1991,,285927830,,,,,,
Ghana,1998,,320175265,,,,,,
Ghana,2005,,381082229,,,,,,
Ghana,2012,,417542328,,,,,,
Ghana,2016,,451372734,,,,,,
Grenada,2018,701623,,,,,,,
Guinea,1991,123386842,,,,,,,
Guinea,1994,,108167943,,,,,,
Guinea,2002,,,138975096,,,,,
Guinea,2007,,,,150620437,,,,
Guinea,2012,,,,157181836,,,,
Guinea,2018,,,,,173874944,,,
Guinea-Bissau,1991,15524123,,,,,,,
Guinea-Bissau,1993,,17148705,,,,,,
Guinea-Bissau,2002,,,22120137,,,,,
Guinea-Bissau,2010,,,,26996149,,,,
Guinea-Bissau,2018,,,,,29926188,,,
Guinea-Bissau,2021,,,,,32906893,,,
Haiti,2012,,155158630,,,,,,
Hungary,1998,,,,81080228,,,,
Hungary,1999,,,,81152759,,,,
Hungary,2000,,,,78818393,,,,
Hungary,2001,,,,64466918,,,,
Hungary,2002,,,,62275643,,,,
Hungary,2003,,,,56389977,,,,
Hungary,2004,,,,51795730,,,,
Hungary,2005,,,,50185727,,,,
Hungary,2006,,,,49360633,,,,
