country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,2267999,,,,,,,,,,,,,,,
Albania,2002,,2232706,,,,,,,,,,,,,,
Albania,2005,,1939733,,,,,,,,,,,,,,
Albania,2008,,1730550,,,,,,,,,,,,,,
Albania,2012,,1751554,,,,,,,,,,,,,,
Albania,2014,,,1657332,,,,,,,,,,,,,
Albania,2015,,,1308080,,,,,,,,,,,,,
Albania,2016,,,1290395,,,,,,,,,,1684484,,,
Albania,2017,,,1285058,,,,,,,,,,1568870,,,
Albania,2018,,,,997374,,,,,,,,,1475674,,,
Albania,2019,,,,971421,,,,,,,,,,,,
Albania,2020,,,,881285,,,,,,,,,,,,
Algeria,1988,18724189,,,,,,,,,,,,,,,
Algeria,1995,,21484745,,,,,,,,,,,,,,
Algeria,2011,,,21541999,,,,,,,,,,,,,
Angola,2000,12545331,,,,,,,,,,,,,,,
Angola,2008,,17247796,,,,,,,,,,,,,,
Angola,2018,,,27022122,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,2601806,,,,,,,
Argentina (urban),1986,,,,,,,,,2329735,,,,,,,
Argentina (urban),1987,,,,,,,,,3580527,,,,,,,
Argentina (urban),1991,,,,,,,,,6901153,,,,,,,
Argentina (urban),1992,,,,,,,,,,7257872,,,,,,
Argentina (urban),1993,,,,,,,,,,7156690,,,,,,
Argentina (urban),1994,,,,,,,,,,7566353,,,,,,
Argentina (urban),1995,,,,,,,,,,9417528,,,,,,
Argentina (urban),1996,,,,,,,,,,10086016,,,,,,
Argentina (urban),1997,,,,,,,,,,9729891,,,,,,
Argentina (urban),1998,,,,,,,,,,,10703215,,,,,
Argentina (urban),1999,,,,,,,,,,,11294260,,,,,
Argentina (urban),2000,,,,,,,,,,,12294459,,,,,
Argentina (urban),2001,,,,,,,,,,,13970182,,,,,
