country,year,gini,decile10_share,bottom50_share,palma_ratio,headcount_ratio_50_median
Albania,1996,0.27010342,20.710997,31.401924,0.8983026,7.548123
Albania,2002,0.3173898,25.339884,28.602386,1.2088716,8.406373
Albania,2005,0.30595654,24.331627,29.290049,1.1410106,8.991532
Albania,2008,0.2998467,24.44043,29.866055,1.1127028,7.2277145
Albania,2012,0.28960484,22.929655,30.112528,1.0407171,7.7531123
Albania,2014,0.34598896,25.54417,26.0764,1.3760699,14.302338
Albania,2015,0.32753733,24.77386,27.467188,1.2482194,10.764287
Albania,2016,0.33736297,25.04603,26.692312,1.3063492,12.754677
Albania,2017,0.33055663,24.60559,27.14281,1.2593763,11.654407
Albania,2018,0.30148283,22.734581,29.119427,1.0833558,11.748401
Albania,2019,0.30115768,23.613953,29.407013,1.0992643,8.627423
Albania,2020,0.2941963,22.755613,29.75281,1.0514045,9.581472
Algeria,1988,0.37356994,29.624128,25.321592,1.6370283,13.894001
Algeria,1995,0.35330054,26.888584,25.99771,1.4520677,14.55
Algeria,2011,0.27615732,22.862358,31.264954,0.99291563,7.136
Angola,2000,0.5194515,40.168198,16.687412,3.638158,23.44608
Angola,2008,0.42715514,32.30165,21.591635,2.1464267,17.200949
Angola,2018,0.51264286,39.62174,17.0224,3.4635935,22.793821
Argentina (urban),1980,0.4083086,30.17537,22.456041,1.9484148,19.389
Argentina (urban),1986,0.42797506,32.190807,21.671268,2.145012,17.856506
Argentina (urban),1987,0.4526729,34.241886,20.239408,2.4644432,18.724493
Argentina (urban),1991,0.46754274,36.60637,19.924788,2.6404057,17.214241
Argentina (urban),1992,0.45454842,34.283863,20.012892,2.4838443,19.640926
Argentina (urban),1993,0.44843096,33.18501,20.19379,2.4087248,20.099566
Argentina (urban),1994,0.4589804,34.43368,19.728308,2.5668378,20.722494
Argentina (urban),1995,0.48878098,36.96111,18.11118,3.0298543,21.199173
Argentina (urban),1996,0.49490517,36.861797,17.56743,3.1410315,22.554068
Argentina (urban),1997,0.49085242,36.36035,17.705645,3.0893292,22.229563
Argentina (urban),1998,0.50712705,38.045372,16.858316,3.3903537,23.02037
Argentina (urban),1999,0.49765623,37.039764,17.287151,3.223272,22.473455
Argentina (urban),2000,0.5103796,37.68997,16.376217,3.496629,24.477243
Argentina (urban),2001,0.5329304,39.461334,15.047202,4.0665245,25.066679
Argentina (urban),2002,0.5375955,40.49707,15.050843,4.164974,25.948689
Argentina (urban),2003,0.50994456,37.747154,16.423555,3.4772587,24.609056
Argentina (urban),2004,0.48483533,35.299076,17.679148,3.0225065,24.181528
Argentina (urban),2005,0.47810286,34.963345,18.160015,2.8957787,23.6121
Argentina (urban),2006,0.46444497,33.797253,18.883532,2.683916,23.021349
Argentina (urban),2007,0.46282586,33.73661,18.993217,2.6560843,23.290123
Argentina (urban),2008,0.44986764,32.46635,19.722307,2.4481409,21.946863
Argentina (urban),2009,0.43758938,31.317678,20.378378,2.2889214,22.209345
