country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,7.4193306,,,,,,,
Albania,2002,,7.1171546,,,,,,
Albania,2005,,8.300112,,,,,,
Albania,2008,,8.9390335,,,,,,
Albania,2012,,8.768968,,,,,,
Albania,2014,,,8.827485,,,,,
Albania,2015,,,10.6873455,,,,,
Albania,2016,,,10.9340105,,,,,
Albania,2017,,,10.84116,,,,,
Albania,2018,,,,12.386626,,,,
Albania,2019,,,,12.356349,,,,
Albania,2020,,,,12.838601,,,,
Algeria,1988,6.293222,,,,,,,
Algeria,1995,,6.518008,,,,,,
Algeria,2011,,,9.114276,,,,,
Angola,2000,5.30038,,,,,,,
Angola,2008,,5.334158,,,,,,
Angola,2018,,,3.8795104,,,,,
Armenia,1999,,4.5130086,,,,,,
Armenia,2001,,4.3352914,,,,,,
Armenia,2002,,4.5468674,,,,,,
Armenia,2003,,4.790289,,,,,,
Armenia,2004,,5.5517464,,,,,,
Armenia,2005,,6.250577,,,,,,
Armenia,2006,,6.7100363,,,,,,
Armenia,2007,,7.3534274,,,,,,
Armenia,2008,,7.654393,,,,,,
Armenia,2009,,6.8470354,,,,,,
Armenia,2010,,6.8065257,,,,,,
Armenia,2011,,7.1054845,,,,,,
Armenia,2012,,7.325222,,,,,,
Armenia,2013,,7.583237,,,,,,
Armenia,2014,,7.7391677,,,,,,
Armenia,2015,,8.170164,,,,,,
Armenia,2016,,8.863737,,,,,,
Armenia,2017,,8.011298,,,,,,
Armenia,2018,,7.971968,,,,,,
Armenia,2019,,,7.717232,,,,,
Armenia,2020,,,7.6085396,,,,,
Armenia,2021,,,7.7493024,,,,,
Armenia,2022,,,7.719168,,,,,
Armenia,2023,,,7.726025,,,,,
Azerbaijan,1995,5.0028763,,,,,,,
Azerbaijan,2001,,5.688616,,,,,,
Azerbaijan,2002,,8.0622635,,,,,,
Azerbaijan,2003,,8.40511,,,,,,
Azerbaijan,2004,,8.458694,,,,,,
Azerbaijan,2005,,9.349519,,,,,,
Bangladesh,1983,3.0885346,,,,,,,
Bangladesh,1985,3.2822175,,,,,,,
Bangladesh,1988,2.9631956,,,,,,,
Bangladesh,1991,,2.9557061,,,,,,
Bangladesh,1995,,3.253285,,,,,,
Bangladesh,2000,,,3.3425155,,,,,
Bangladesh,2005,,,3.7180283,,,,,
Bangladesh,2010,,,4.074886,,,,,
Bangladesh,2016,,,4.4958982,,,,,
Bangladesh,2022,,,,6.1749387,,,,
Barbados,2016,15.490099,,,,,,,
Belarus,1998,,3.530649,,,,,,
Belarus,1999,,3.8123033,,,,,,
Belarus,2000,,4.2452307,,,,,,
Belarus,2001,,5.286056,,,,,,
Belarus,2002,,5.820306,,,,,,
Belarus,2003,,6.113566,,,,,,
Belarus,2004,,6.998197,,,,,,
