country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,9.24573,,,,,,,,,,,,,,,
Albania,2002,,8.838444,,,,,,,,,,,,,,
Albania,2005,,9.03909,,,,,,,,,,,,,,
Albania,2008,,8.937947,,,,,,,,,,,,,,
Albania,2012,,9.261775,,,,,,,,,,,,,,
Albania,2014,,,8.93382,,,,,,,,,,,,,
Albania,2015,,,8.886631,,,,,,,,,,,,,
Albania,2016,,,8.896704,,,,,,,,,,8.86715,,,
Albania,2017,,,8.908579,,,,,,,,,,9.074706,,,
Albania,2018,,,,9.344978,,,,,,,,,9.130076,,,
Albania,2019,,,,9.0381975,,,,,,,,,,,,
Albania,2020,,,,9.220009,,,,,,,,,,,,
Algeria,1988,8.416275,,,,,,,,,,,,,,,
Algeria,1995,,8.756291,,,,,,,,,,,,,,
Algeria,2011,,,9.2319145,,,,,,,,,,,,,
Angola,2000,7.048204,,,,,,,,,,,,,,,
Angola,2008,,7.923758,,,,,,,,,,,,,,
Angola,2018,,,6.980908,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,8.394564,,,,,,,
Argentina (urban),1986,,,,,,,,,7.9847827,,,,,,,
Argentina (urban),1987,,,,,,,,,7.7232985,,,,,,,
Argentina (urban),1991,,,,,,,,,7.2388945,,,,,,,
Argentina (urban),1992,,,,,,,,,,7.656885,,,,,,
Argentina (urban),1993,,,,,,,,,,7.896989,,,,,,
Argentina (urban),1994,,,,,,,,,,7.7171893,,,,,,
Argentina (urban),1995,,,,,,,,,,7.358013,,,,,,
Argentina (urban),1996,,,,,,,,,,7.3007984,,,,,,
Argentina (urban),1997,,,,,,,,,,7.308213,,,,,,
Argentina (urban),1998,,,,,,,,,,,7.0634127,,,,,
Argentina (urban),1999,,,,,,,,,,,7.289608,,,,,
Argentina (urban),2000,,,,,,,,,,,7.1745453,,,,,
Argentina (urban),2001,,,,,,,,,,,6.9154935,,,,,
Argentina (urban),2002,,,,,,,,,,,6.843576,,,,,
Argentina (urban),2003,,,,,,,,,,,,7.118318,,,,
Argentina (urban),2004,,,,,,,,,,,,7.563914,,,,
Argentina (urban),2005,,,,,,,,,,,,7.640586,,,,
Argentina (urban),2006,,,,,,,,,,,,7.895635,,,,
Argentina (urban),2007,,,,,,,,,,,,7.884106,,,,
Argentina (urban),2008,,,,,,,,,,,,8.035824,,,,
Argentina (urban),2009,,,,,,,,,,,,8.260606,,,,
Argentina (urban),2010,,,,,,,,,,,,8.215004,,,,
Argentina (urban),2011,,,,,,,,,,,,8.286846,,,,
Argentina (urban),2012,,,,,,,,,,,,8.484842,,,,
Argentina (urban),2013,,,,,,,,,,,,8.5556555,,,,
Argentina (urban),2014,,,,,,,,,,,,8.348006,,,,
Argentina (urban),2016,,,,,,,,,,,,8.304198,,,,
Argentina (urban),2017,,,,,,,,,,,,8.414237,,,,
Argentina (urban),2018,,,,,,,,,,,,8.440585,,,,
Argentina (urban),2019,,,,,,,,,,,,8.225521,,,,
Argentina (urban),2020,,,,,,,,,,,,8.277098,,,,
Argentina (urban),2021,,,,,,,,,,,,8.203179,,,,
Argentina (urban),2022,,,,,,,,,,,,8.324703,,,,
Argentina (urban),2023,,,,,,,,,,,,8.197798,,,,
Argentina (urban),2024,,,,,,,,,,,,8.106514,,,,
Armenia,1996,,,,,,,,,7.575126,,,,,,,
Armenia,1999,,8.270483,,,,,,,,,,,,,,
Armenia,2001,,8.320208,,,,,,,,,,,,,,
Armenia,2002,,8.287307,,,,,,,,,,,,,,
Armenia,2003,,8.457452,,,,,,,,,,,,,,
Armenia,2004,,7.9689064,,,,,,,,,,,,,,
Armenia,2005,,8.102422,,,,,,,,,,,,,,
Armenia,2006,,9.048648,,,,,,,,,,,,,,
Armenia,2007,,8.849371,,,,,,,,,,,,,,
Armenia,2008,,9.061523,,,,,,,,,,,,,,
Armenia,2009,,9.099991,,,,,,,,,,,,,,
Armenia,2010,,8.85985,,,,,,,,,,,,,,
Armenia,2011,,9.0032425,,,,,,,,,,,,,,
Armenia,2012,,9.057425,,,,,,,,,,,,,,
Armenia,2013,,8.98703,,,,,,,,,,,,,,
Armenia,2014,,9.007947,,,,,,,,,,,,,,
Armenia,2015,,8.922473,,,,,,,,,,,,,,
Armenia,2016,,9.146641,,,,,,,,,,,,,,
Armenia,2017,,8.451369,,,,,,,,,,,,,,
Armenia,2018,,8.456946,,,,,,,,,,,,,,
Armenia,2019,,,8.946159,,,,,,,,,,,,,
Armenia,2020,,,9.32987,,,,,,,,,,,,,
Armenia,2021,,,9.091653,,,,,,,,,,,,,
Armenia,2022,,,9.283913,,,,,,,,,,,,,
Armenia,2023,,,9.199024,,,,,,,,,,,,,
Australia,1981,,,,,,,,,9.090347,,,,,,,
Australia,1985,,,,,,,,,,8.942214,,,,,,
Australia,1989,,,,,,,,,,,9.001375,,,,,
Australia,1995,,,,,,,,,,,,8.972099,,,,
Australia,2001,,,,,,,,,,,,8.929755,,,,
Australia,2003,,,,,,,,,,,,8.894689,,,,
Australia,2004,,,,,,,,,,,,8.857005,,,,
Australia,2008,,,,,,,,,,,,8.574595,,,,
Australia,2010,,,,,,,,,,,,8.708596,,,,
Australia,2014,,,,,,,,,,,,8.684821,,,,
