country,year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,2016,,,,,12.206449,,,
Albania,2017,,,,,12.935862,,,
Albania,2018,,,,,13.423385,,,
Argentina (urban),1980,39.55864,,,,,,,
Argentina (urban),1986,40.924465,,,,,,,
Argentina (urban),1987,37.01494,,,,,,,
Argentina (urban),1991,25.009289,,,,,,,
Argentina (urban),1992,,26.377697,,,,,,
Argentina (urban),1993,,27.40104,,,,,,
Argentina (urban),1994,,26.425097,,,,,,
Argentina (urban),1995,,24.366673,,,,,,
Argentina (urban),1996,,24.452751,,,,,,
Argentina (urban),1997,,25.124405,,,,,,
Argentina (urban),1998,,,24.047934,,,,,
Argentina (urban),1999,,,23.455166,,,,,
Argentina (urban),2000,,,22.658903,,,,,
Argentina (urban),2001,,,20.834658,,,,,
Argentina (urban),2002,,,14.201931,,,,,
Argentina (urban),2003,,,,21.11803,,,,
Argentina (urban),2004,,,,23.61797,,,,
Argentina (urban),2005,,,,25.841896,,,,
Argentina (urban),2006,,,,29.301413,,,,
Argentina (urban),2007,,,,30.07888,,,,
Argentina (urban),2008,,,,31.301426,,,,
Argentina (urban),2009,,,,32.66307,,,,
Argentina (urban),2010,,,,33.082355,,,,
Argentina (urban),2011,,,,35.32607,,,,
Argentina (urban),2012,,,,35.7818,,,,
Argentina (urban),2013,,,,35.935154,,,,
Argentina (urban),2014,,,,33.3442,,,,
Argentina (urban),2016,,,,34.13398,,,,
Argentina (urban),2017,,,,35.92151,,,,
Argentina (urban),2018,,,,32.461163,,,,
Argentina (urban),2019,,,,31.27429,,,,
Argentina (urban),2020,,,,27.689217,,,,
Argentina (urban),2021,,,,29.349646,,,,
Argentina (urban),2022,,,,27.94391,,,,
Argentina (urban),2023,,,,28.014088,,,,
Argentina (urban),2024,,,,28.883121,,,,
Armenia,1996,7.9058933,,,,,,,
Australia,1981,48.42488,,,,,,,
Australia,1985,,48.836594,,,,,,
Australia,1989,,,50.7972,,,,,
Australia,1995,,,,45.98114,,,,
Australia,2001,,,,53.901722,,,,
Australia,2003,,,,55.883953,,,,
Australia,2004,,,,59.53813,,,,
Australia,2008,,,,74.06022,,,,
Australia,2010,,,,74.81232,,,,
Australia,2014,,,,77.67,,,,
Australia,2016,,,,79.191895,,,,
Australia,2018,,,,78.1368,,,,
Australia,2020,,,,81.38324,,,,
Austria,1994,,71.17277,,,,,,
Austria,1995,,70.05655,,,,,,
Austria,1996,,66.665,,,,,,
Austria,1997,,67.04216,,,,,,
Austria,1998,,68.402885,,,,,,
Austria,1999,,71.53943,,,,,,
Austria,2000,,70.35162,,,,,,
Austria,2003,,,73.67374,,,,,
Austria,2004,,,77.012146,,,,,
Austria,2005,,,75.07377,,,,,
Austria,2006,,,75.92365,,,,,
Austria,2007,,,80.21567,,,,,
Austria,2008,,,80.4925,,,,,
Austria,2009,,,83.61651,,,,,
Austria,2010,,,85.27436,,,,,
Austria,2011,,,84.33017,,,,,
Austria,2012,,,81.94296,,,,,
Austria,2013,,,85.06492,,,,,
Austria,2014,,,83.75326,,,,,
Austria,2015,,,83.96374,,,,,
Austria,2016,,,88.072266,,,,,
Austria,2017,,,87.86331,,,,,
Austria,2018,,,88.13315,,,,,
Austria,2019,,,90.69057,,,,,
Austria,2020,,,89.64019,,,,,
Austria,2021,,,89.51346,,,,,
Austria,2022,,,91.07673,,,,,
Austria,2023,,,91.620224,,,,,
Belarus,1993,7.255004,,,,,,,
Belarus,1995,11.148363,,,,,,,
Belgium,1985,44.909966,,,,,,,
Belgium,1988,46.763206,,,,,,,
Belgium,1992,51.459747,,,,,,,
Belgium,1995,,59.994495,,,,,,
Belgium,1997,59.62348,,,,,,,
Belgium,2000,,65.32792,,,,,,
Belgium,2003,,,64.16669,,,,,
Belgium,2004,,,66.68274,,,,,
Belgium,2005,,,67.20895,,,,,
Belgium,2006,,,68.177315,,,,,
Belgium,2007,,,68.43349,,,,,
Belgium,2008,,,70.87956,,,,,
Belgium,2009,,,71.6119,,,,,
Belgium,2010,,,70.39533,,,,,
Belgium,2011,,,69.27716,,,,,
Belgium,2012,,,71.56505,,,,,
Belgium,2013,,,71.91614,,,,,
Belgium,2014,,,72.499214,,,,,
Belgium,2015,,,72.965195,,,,,
Belgium,2016,,,71.92445,,,,,
Belgium,2017,,,73.0597,,,,,
Belgium,2018,,,73.50572,,,,,
Belgium,2019,,,75.71699,,,,,
Belgium,2020,,,75.98052,,,,,
Belgium,2021,,,78.76712,,,,,
Belgium,2022,,,74.73067,,,,,
Belgium,2023,,,76.83142,,,,,
Belize,1993,10.202034,,,,,,,
Belize,1994,9.04225,,,,,,,
Belize,1996,,,8.293588,,,,,
Belize,1997,8.301866,,,,,,,
Belize,1998,8.775421,,,,,,,
Belize,1999,9.121344,,,,,,,
Bolivia,1997,,13.959056,,,,,,
Bolivia,1999,,,13.750382,,,,,
Bolivia,2000,,,,11.56042,,,,
Bolivia,2001,,,,12.242803,,,,
Bolivia,2002,,,,11.883716,,,,
Bolivia,2004,,,,,13.766949,,,
Bolivia,2005,,,,,,14.920439,,
Bolivia,2006,,,,,,16.268127,,
Bolivia,2007,,,,,,16.0717,,
Bolivia,2008,,,,,,18.062233,,
Bolivia,2009,,,,,,19.645391,,
Bolivia,2011,,,,,,22.424414,,
Bolivia,2012,,,,,,23.184181,,
Bolivia,2013,,,,,,24.516073,,
Bolivia,2014,,,,,,24.32761,,
Bolivia,2015,,,,,,23.963049,,
Bolivia,2016,,,,,,24.177166,,
Bolivia,2017,,,,,,24.421434,,
Bolivia,2018,,,,,,23.857304,,
Bolivia,2019,,,,,,24.381865,,
Bolivia,2020,,,,,,24.227264,,
Bolivia,2021,,,,,,24.336956,,
Bolivia,2022,,,,,,24.297987,,
Bolivia,2023,,,,,,25.211533,,
Bolivia (urban),1990,13.497707,,,,,,,
Bolivia (urban),1992,10.248273,,,,,,,
Brazil,1981,8.603344,,,,,,,
Brazil,1982,8.767247,,,,,,,
Brazil,1983,7.277089,,,,,,,
Brazil,1984,7.2157073,,,,,,,
Brazil,1985,8.296696,,,,,,,
Brazil,1986,13.838881,,,,,,,
Brazil,1987,10.802734,,,,,,,
Brazil,1988,10.203798,,,,,,,
Brazil,1989,11.370488,,,,,,,
Brazil,1990,9.470682,,,,,,,
Brazil,1992,8.844466,,,,,,,
Brazil,1993,9.325691,,,,,,,
Brazil,1995,12.797791,,,,,,,
