country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,4.456743,,,,,,,,,,,,,,,
Albania,2002,,4.1834006,,,,,,,,,,,,,,
Albania,2005,,4.8148274,,,,,,,,,,,,,,
Albania,2008,,5.494211,,,,,,,,,,,,,,
Albania,2012,,5.2588534,,,,,,,,,,,,,,
Albania,2014,,,4.50488,,,,,,,,,,,,,
Albania,2015,,,5.924793,,,,,,,,,,,,,
Albania,2016,,,5.8027987,,,,,,,,,,3.6883283,,,
Albania,2017,,,5.888888,,,,,,,,,,4.0380707,,,
Albania,2018,,,,6.756273,,,,,,,,,4.470378,,,
Albania,2019,,,,7.2842183,,,,,,,,,,,,
Albania,2020,,,,7.46244,,,,,,,,,,,,
Algeria,1988,3.2466567,,,,,,,,,,,,,,,
Algeria,1995,,3.2990441,,,,,,,,,,,,,,
Algeria,2011,,,5.5555797,,,,,,,,,,,,,
Angola,2000,1.8425664,,,,,,,,,,,,,,,
Angola,2008,,2.4843132,,,,,,,,,,,,,,
Angola,2018,,,1.509843,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,11.660091,,,,,,,
Argentina (urban),1986,,,,,,,,,12.899605,,,,,,,
Argentina (urban),1987,,,,,,,,,10.591558,,,,,,,
Argentina (urban),1991,,,,,,,,,7.615142,,,,,,,
Argentina (urban),1992,,,,,,,,,,7.5418024,,,,,,
Argentina (urban),1993,,,,,,,,,,7.470576,,,,,,
Argentina (urban),1994,,,,,,,,,,7.1687465,,,,,,
Argentina (urban),1995,,,,,,,,,,6.2179737,,,,,,
Argentina (urban),1996,,,,,,,,,,5.744993,,,,,,
Argentina (urban),1997,,,,,,,,,,5.984697,,,,,,
Argentina (urban),1998,,,,,,,,,,,5.520151,,,,,
Argentina (urban),1999,,,,,,,,,,,5.431655,,,,,
Argentina (urban),2000,,,,,,,,,,,4.9153104,,,,,
Argentina (urban),2001,,,,,,,,,,,3.9031796,,,,,
Argentina (urban),2002,,,,,,,,,,,2.6787436,,,,,
Argentina (urban),2003,,,,,,,,,,,,4.4553843,,,,
Argentina (urban),2004,,,,,,,,,,,,5.156077,,,,
Argentina (urban),2005,,,,,,,,,,,,5.9359436,,,,
Argentina (urban),2006,,,,,,,,,,,,6.9153476,,,,
Argentina (urban),2007,,,,,,,,,,,,7.2670417,,,,
Argentina (urban),2008,,,,,,,,,,,,7.7295427,,,,
Argentina (urban),2009,,,,,,,,,,,,8.229231,,,,
Argentina (urban),2010,,,,,,,,,,,,8.797567,,,,
Argentina (urban),2011,,,,,,,,,,,,9.693403,,,,
Argentina (urban),2012,,,,,,,,,,,,10.097417,,,,
Argentina (urban),2013,,,,,,,,,,,,10.112302,,,,
Argentina (urban),2014,,,,,,,,,,,,9.364283,,,,
Argentina (urban),2016,,,,,,,,,,,,9.495626,,,,
Argentina (urban),2017,,,,,,,,,,,,10.3523655,,,,
Argentina (urban),2018,,,,,,,,,,,,9.105475,,,,
Argentina (urban),2019,,,,,,,,,,,,8.368274,,,,
Argentina (urban),2020,,,,,,,,,,,,7.3630886,,,,
Argentina (urban),2021,,,,,,,,,,,,8.543106,,,,
