country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,12.611617,,,,,,,
Albania,2002,,11.986897,,,,,,
Albania,2005,,12.102874,,,,,,
Albania,2008,,11.9204645,,,,,,
Albania,2012,,12.29249,,,,,,
Albania,2014,,,12.727552,,,,,
Albania,2015,,,12.525942,,,,,
Albania,2016,,,12.704036,,,,,
Albania,2017,,,12.717416,,,,,
Albania,2018,,,,12.595945,,,,
Albania,2019,,,,12.328337,,,,
Albania,2020,,,,12.441839,,,,
Algeria,1988,11.773885,,,,,,,
Algeria,1995,,12.342509,,,,,,
Algeria,2011,,,11.898996,,,,,
Angola,2000,11.339768,,,,,,,
Angola,2008,,12.29761,,,,,,
Angola,2018,,,11.567612,,,,,
Armenia,1999,,11.5756645,,,,,,
Armenia,2001,,11.333732,,,,,,
Armenia,2002,,11.293367,,,,,,
Armenia,2003,,11.223058,,,,,,
Armenia,2004,,10.944876,,,,,,
Armenia,2005,,10.965083,,,,,,
Armenia,2006,,11.8822565,,,,,,
Armenia,2007,,11.947397,,,,,,
Armenia,2008,,12.027202,,,,,,
Armenia,2009,,12.045061,,,,,,
Armenia,2010,,11.659614,,,,,,
Armenia,2011,,11.962739,,,,,,
Armenia,2012,,11.790023,,,,,,
Armenia,2013,,11.925408,,,,,,
Armenia,2014,,11.778679,,,,,,
Armenia,2015,,11.641846,,,,,,
Armenia,2016,,12.258869,,,,,,
Armenia,2017,,11.332387,,,,,,
Armenia,2018,,11.172037,,,,,,
Armenia,2019,,,11.568934,,,,,
Armenia,2020,,,11.7897,,,,,
Armenia,2021,,,11.657513,,,,,
Armenia,2022,,,11.907124,,,,,
Armenia,2023,,,11.770131,,,,,
Azerbaijan,1995,12.276538,,,,,,,
Azerbaijan,2001,,11.572445,,,,,,
Azerbaijan,2002,,11.1688795,,,,,,
Azerbaijan,2003,,11.424301,,,,,,
Azerbaijan,2004,,11.063015,,,,,,
Azerbaijan,2005,,11.121084,,,,,,
Bangladesh,1983,11.799262,,,,,,,
Bangladesh,1985,11.525687,,,,,,,
Bangladesh,1988,11.558045,,,,,,,
Bangladesh,1991,,11.744414,,,,,,
Bangladesh,1995,,11.218591,,,,,,
Bangladesh,2000,,,11.3964405,,,,,
Bangladesh,2005,,,11.3821335,,,,,
Bangladesh,2010,,,11.490088,,,,,
Bangladesh,2016,,,11.591,,,,,
