country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,15.250771,,,,,,,
Albania,2002,,14.999922,,,,,,
Albania,2005,,14.829844,,,,,,
Albania,2008,,14.5468025,,,,,,
Albania,2012,,14.890212,,,,,,
Albania,2014,,,16.126854,,,,,
Albania,2015,,,15.870479,,,,,
Albania,2016,,,16.140213,,,,,
Albania,2017,,,16.081602,,,,,
Albania,2018,,,,15.45517,,,,
Albania,2019,,,,15.22917,,,,
Albania,2020,,,,15.266642,,,,
Algeria,1988,15.01983,,,,,,,
Algeria,1995,,15.728198,,,,,,
Algeria,2011,,,14.356383,,,,,
Angola,2000,15.939167,,,,,,,
Angola,2008,,16.23416,,,,,,
Angola,2018,,,15.938039,,,,,
Armenia,1999,,14.546546,,,,,,
Armenia,2001,,14.845149,,,,,,
Armenia,2002,,14.507612,,,,,,
Armenia,2003,,13.9578285,,,,,,
Armenia,2004,,14.077904,,,,,,
Armenia,2005,,13.896248,,,,,,
Armenia,2006,,14.339207,,,,,,
Armenia,2007,,14.893148,,,,,,
Armenia,2008,,14.679209,,,,,,
Armenia,2009,,14.620224,,,,,,
Armenia,2010,,14.346959,,,,,,
Armenia,2011,,14.603351,,,,,,
Armenia,2012,,14.19661,,,,,,
Armenia,2013,,14.711412,,,,,,
Armenia,2014,,14.311812,,,,,,
Armenia,2015,,13.950801,,,,,,
Armenia,2016,,14.875838,,,,,,
Armenia,2017,,14.034121,,,,,,
Armenia,2018,,13.794555,,,,,,
Armenia,2019,,,13.97789,,,,,
Armenia,2020,,,14.072363,,,,,
Armenia,2021,,,14.135437,,,,,
Armenia,2022,,,14.282745,,,,,
Armenia,2023,,,14.023776,,,,,
Azerbaijan,1995,15.20371,,,,,,,
Azerbaijan,2001,,14.994306,,,,,,
Azerbaijan,2002,,13.488558,,,,,,
Azerbaijan,2003,,13.786103,,,,,,
Azerbaijan,2004,,13.459712,,,,,,
Azerbaijan,2005,,13.618879,,,,,,
Bangladesh,1983,13.971508,,,,,,,
Bangladesh,1985,13.834384,,,,,,,
Bangladesh,1988,14.02079,,,,,,,
Bangladesh,1991,,14.068267,,,,,,
Bangladesh,1995,,14.342364,,,,,,
Bangladesh,2000,,,14.802588,,,,,
Bangladesh,2005,,,14.521581,,,,,
Bangladesh,2010,,,14.565125,,,,,
Bangladesh,2016,,,14.601729,,,,,
Bangladesh,2022,,,,14.597261,,,,
Barbados,2016,15.417626,,,,,,,
Belarus,1998,,15.154076,,,,,,
Belarus,1999,,15.344659,,,,,,
Belarus,2000,,15.057535,,,,,,
Belarus,2001,,14.91819,,,,,,
Belarus,2002,,14.760819,,,,,,
Belarus,2003,,14.935906,,,,,,
Belarus,2004,,14.582129,,,,,,
Belarus,2005,,14.668501,,,,,,
Belarus,2006,,14.718252,,,,,,
Belarus,2007,,14.8334055,,,,,,
Belarus,2008,,14.451125,,,,,,
Belarus,2009,,14.409224,,,,,,
Belarus,2010,,14.628932,,,,,,
Belarus,2011,,14.487047,,,,,,
Belarus,2012,,14.329749,,,,,,
Belarus,2013,,14.124555,,,,,,
Belarus,2014,,14.128679,,,,,,
Belarus,2015,,14.252681,,,,,,
